mack,eps,pe,pb,roa,roe,tangtruongdoanhthuthuan,tangtruongloinhuangop,tangtruongtongtaisan
AAA,947.0,9.21,0.53,2.25581552396822e+16,4973838406953800.0,1.27,34.29,18.69
AAH,151.0,23.81,0.35,1218706265253130.0,1.48917427264045e+16,404.33,33.23,10.47
AAM,-604.0,-12.09,0.39,-3119737154205480.0,-3215290859013270.0,12.23,383.56,-4.94
AAS,347.0,25.62,0.82,1.58044593561254e+16,3196106956925610.0,-37.62,35.5,41.74
AAT,-7.0,-479.57,0.34,-3370168256499180.0,-6085690842975140.0,-2.76,16.63,30.68
AAV,-173.0,-42.15,0.66,-1.45743559817922e+16,-1.77533198957906e+16,-47.36,-102.86,1.94
ABB,590.0,12.54,0.55,3.45573894696433e+16,4347312063683670.0,0.0,0.0,9.03
ABC,710.0,16.75,0.49,1.61379352635668e+16,2906079012605920.0,6.33,-45.16,39.93
ABI,2874.0,10.44,1.39,4716621031180450.0,1.32862731294518e+16,6.68,-3.14,9.67
ABR,898.0,14.48,0.88,5.07272303615376e+16,6.10653972893936e+16,-50.25,-35.48,-7.82
ABS,32.0,143.78,0.4,2.55445955932364e+16,2.79251276992984e+16,-61.36,-83.74,-36.55
ABT,6942.0,5.7,0.86,1063739244066160.0,1.50601926214717e+16,7.78,28.67,17.99
ABW,1090.0,7.71,0.59,325266759795633.0,7642057205895260.0,29.6,25.93,47.47
ACB,3975.0,6.49,1.38,1.94324735840314e+16,2011673908593110.0,0.0,0.0,20.2
ACC,502.0,29.1,1.15,1.7737120006753e+16,3965049816483300.0,8.04,-13.33,27.07
ACG,2786.0,15.0,1.51,7449095088160930.0,1.00598079480643e+16,5.81,12.98,2.13
ACL,210.0,56.65,0.74,6310159867924560.0,1.30137484732723e+16,56.6,14.19,-4.54
ACV,5312.0,23.7,4.57,1.49820594068062e+16,1931330575443470.0,12.78,16.46,14.73
ADC,3539.0,5.93,1.0,7997734043138220.0,1.69013703216074e+16,-4.59,-1.84,8.5
ADG,828.0,13.64,0.62,4256043459986600.0,545368458642805.0,12.71,-6.68,10.27
ADP,0.0,0.0,2.45,0.0,0.0,-100.0,-100.0,-6.8
ADS,683.0,12.84,0.7,2.15117799395407e+16,5841860108341450.0,-0.77,-28.38,4.07
AFX,798.0,9.52,0.56,1.40034577454241e+16,5.86906273511656e+16,-3.79,-24.09,72.67
AGF,-136.0,-22.05,-0.46,-1.35582530919786e+16,0.0,12.16,-2.3,-2.19
AGG,2148.0,7.17,0.8,3709821568492220.0,8319940444308320.0,-50.83,-39.25,-24.3
AGM,-13813.0,-0.24,-0.26,-2407551302828870.0,0.0,-69.43,-102.18,-15.59
AGP,2184.0,17.81,2.25,4468233975787200.0,1.22278741067869e+16,9.4,8.52,21.89
AGR,627.0,27.01,1.49,3892374022383320.0,5532924469555380.0,14.26,0.3,13.38
AIC,114.0,96.72,0.99,2.22334386281603e+16,1.02648686334585e+16,18.5,35.63,27.64
AIG,4150.0,11.13,1.31,798164623344261.0,1.39781498104367e+16,3.95,8.03,10.91
ALT,296.0,40.15,0.31,4632325622172140.0,7825837131451420.0,36.58,11.56,12.33
AMC,2171.0,7.37,0.86,6.06112946469382e+16,1.16996967721534e+16,8.8,5.21,30.26
AME,352.0,13.35,0.38,7070611380523520.0,2.81422559119238e+16,52.17,31.25,29.11
AMS,911.0,10.53,0.72,1671010237805210.0,6799720833672660.0,14.27,28.43,-2.3
AMV,36.0,41.37,0.12,1.68838298681344e+16,1969119564056720.0,57.62,-34.05,0.11
ANT,3871.0,5.04,1.2,5.83835654613476e+16,2.38862150220909e+16,90.94,125.65,55.93
ANV,320.0,61.86,1.88,9955277643842810.0,1730482551930130.0,10.64,25.24,-4.9
APC,-1042.0,-6.34,0.23,-2.56203256937187e+16,-3.66103419375447e+16,11.19,24.97,-8.57
APF,5489.0,10.02,1.42,458560916971782.0,1.35661027392183e+16,1.16,1.78,7.98
APG,-744.0,-8.97,0.63,-5.62552340511118e+16,-6261672244942720.0,-50.39,-154.27,45.2
APH,509.0,13.74,0.29,2.29802989776285e+16,5212679170558980.0,-2.27,25.4,8.5
API,-232.0,-33.6,0.72,-8933742078966320.0,-2.12770786074536e+16,8.49,34.12,-4.99
APS,263.0,24.7,0.67,2679227743806980.0,2.71933722238458e+16,-45.24,11.47,1.55
ARM,1534.0,16.36,2.02,2.78839500231069e+16,1.23703992597413e+16,61.48,10.89,-3.65
ART,-216.0,-6.01,0.96,-1.53726512796182e+16,-1.59375165340048e+16,-77.16,-240.21,-14.95
ASG,318.0,57.46,0.82,1635016056239240.0,2.63094046133869e+16,-0.22,22.56,7.23
ASM,519.0,16.56,0.39,1.10573737278022e+16,3130591754557250.0,0.33,2.98,12.79
ASP,134.0,29.44,0.49,241788966599415.0,1.26925793268539e+16,-11.18,-17.34,-30.1
AST,3303.0,16.5,3.97,2.37177448296965e+16,3273283824602270.0,20.95,27.19,12.09
ATG,1.0,3270.34,-217.08,9573147439508360.0,0.0,-78.49,83.63,-76.95
ATS,57.0,264.16,1.2,410831420024818.0,4552738971434810.0,5.57,20.1,-4.01
AVC,4026.0,13.46,3.73,2.40339222528364e+16,2771357253553190.0,7.98,1.24,-20.92
AVG,886.0,33.06,2.28,3.17125246767514e+16,5643061773405710.0,13.86,21.89,13.08
BAB,1135.0,10.57,0.91,6110793452135750.0,8582722608625540.0,0.0,0.0,8.7
BAF,1688.0,16.66,2.29,4337630250036800.0,1.10484413087904e+16,6.83,115.0,14.28
BAX,3241.0,12.49,1.58,3669433719336880.0,1.26302526378983e+16,-2.06,14.62,-0.07
BBC,6223.0,8.63,0.67,5286501035121660.0,7805101577372000.0,19.7,25.2,-5.17
BBM,320.0,22.48,0.59,1.90501757285568e+16,2.63747522072131e+16,-2.85,-5.11,-5.79
BBS,1031.0,9.89,0.57,2.12361321923731e+16,5.73708984599423e+16,-0.03,4.41,-2.69
BCA,-2713.0,-4.05,0.42,-1.31654654894999e+16,-1.03459429381612e+16,44.15,524.27,-2.6
BCC,-51.0,-144.56,0.51,-2.38351121654659e+16,-4577598916552670.0,13.2,175.71,-6.68
BCE,1487.0,5.72,0.77,7292574084145100.0,1.34506698658226e+16,107.23,135.76,3.8
