mack,taisannganhan,taisandaihan,tongtaisan,nophaitra,vonchusohuu
AAA,0.016089565017620114,0.016648445687039878,0.004979872276398291,0.0028716378049553166,0.02828468615821121
AAH,0.0010586373323005676,0.002367284133044782,0.000529836383810569,0.00010154584915258125,0.005430209031711775
AAM,0.00041352776343385656,8.37898660270005e-05,7.329202278959245e-05,2.2984443505416293e-06,0.0008905856599237609
AAS,0.011951240291165684,0.0006167641362878676,0.0018312946998833624,0.000976870967021,0.011340646901439938
AAT,0.001085814219826378,0.002021020243401825,0.0004787353935048846,0.00022541825873487298,0.0033201559611861645
AAV,0.0014281280114939302,0.0008297651738859375,0.00033901733681507154,6.405867451857288e-05,0.0034854026167938897
ABB,0.0,0.0,0.06402082414179064,0.06218693247406524,0.06373274474893832
ABC,0.002035814715571877,0.00018753195368686833,0.00032505847313606383,0.0001525325604943085,0.0022605977584413644
ABI,0.010441006588474263,0.00036463979750680315,0.0015721920473247628,0.0010700784823085567,0.006989637501292852
ABR,0.00028472337687894886,0.0005469817838088708,0.0001282412438473715,2.2910053108348813e-05,0.001334120127975009
ABS,0.002364363820898913,0.0001260200667047351,0.0003629290112388569,3.2647548951906976e-05,0.004157639213376843
ABT,0.0010952030108813795,0.0007521638221743932,0.00027839862779341395,8.627478849582215e-05,0.0024625950159097793
ABW,0.006355819188008815,0.0019262838950635946,0.0012279694254867441,0.0007442715551575198,0.006545430311952693
ACB,0.0,0.0,0.3129673027395325,0.2983525693950722,0.3786088143222849
ACC,0.004379568805183763,0.0028150769502859815,0.0010826428460957225,0.0006313874084057672,0.0060651412204486025
ACG,0.010290259687092186,0.003463330757915485,0.0020428999686183526,0.0005594567799585656,0.018944457832612907
ACL,0.0035202058036895877,0.000593467886717892,0.0006048632565068878,0.0003287851317279392,0.003672961766821942
ACV,0.10123098087586632,0.08371901733779863,0.027989272363794192,0.006623657976781797,0.2719116139765901
ADC,0.00037355105666867785,6.032223842093662e-05,6.376388585136324e-05,3.5446249435436396e-05,0.0003778688280791265
ADG,0.0005940025040537642,0.0005885453626971984,0.00017970206891574207,4.164278648219924e-05,0.0017562662876360264
ADP,0.0007948371556985394,8.466920737038012e-05,0.00012873198861262946,3.173759705333731e-05,0.0012355021368966788
ADS,0.004969898301838634,0.0014034282432530693,0.0009438598386718538,0.000629235208411883,0.004352652052339688
AFX,0.0041942862066565185,0.0007178789640954803,0.0007223996450173688,0.0005804190274824362,0.002158565880256415
AGF,0.00039371614351393105,0.0002835338446364941,0.00010217025832020254,0.00017757807062587436,0.0
AGG,0.014533998972730026,0.002771928885790427,0.0025484512811025503,0.0014901097729326728,0.014230835237420063
AGM,0.0004999478203460313,0.0019233682929785498,0.0003782460751558487,0.0004891065001177289,0.0
AGP,0.001530784434541945,0.0010969598083052372,0.0003963787623764349,0.00026543061898799013,0.0018139135112680356
AGR,0.008104402711007354,0.0005182477516057566,0.0012577388651166918,0.00039352773859405697,0.011080811208119795
AIC,0.012098217613014545,0.0006181194510244601,0.0018528258325349821,0.0015316855888983173,0.005025844969553134
AIG,0.018591333355406817,0.007065919758757497,0.0038194507090151372,0.0017290172929595824,0.027312719496047598
ALT,0.0005845263862467464,0.0003030729212222702,0.0001329488559834679,5.724958012407403e-05,0.0009855397144586649
AMC,0.0001456564141838201,9.971428952431812e-05,3.69747837145786e-05,1.880398196721938e-05,0.00023988652175183217
AME,0.00783800438227142,0.0002511877298361611,0.0011766518283860194,0.0009296886269557141,0.00370226315168762
AMS,0.0054652611480657904,0.002471665536914577,0.0011855086857705864,0.0009435651052060639,0.003648497211715099
AMV,0.0024302344676022185,0.0022833018569920283,0.00071540521427433,0.00010762893319190576,0.0076819633704788325
ANT,0.0018672631450996201,0.0010913262326725274,0.0004442817673516404,0.0003542312331043735,0.0013599502387873076
ANV,0.006457807731780516,0.0051882649671210375,0.0017612875506112602,0.0007893574000217876,0.012689300080909792
APC,0.0002194861903418045,0.001655075875109416,0.0002949235763725735,9.342305430971875e-05,0.002584708693148126
APF,0.004910937285297109,0.0033148353529034555,0.0012391476422524803,0.0008656018584478132,0.005245492143712046
APG,0.005283402755478186,0.0012254567978395657,0.0009610359938160387,0.00010302866735927956,0.010812683942282778
APH,0.0161051814234108,0.01589735025244313,0.00486274236888459,0.002869172029884794,0.02684708825106023
API,0.004171722622403374,0.0011431657301985243,0.0007867312265364819,0.00048161164671544005,0.004136843113227798
APS,0.0018485941503609655,0.00017089352776439214,0.00029526156556150817,4.595585895465909e-06,0.003643130540760099
ARM,0.00040794083778102015,1.783513876915125e-05,6.199755304072531e-05,5.067540313128301e-05,0.0001750114158287783
ART,0.00021023486260960636,0.00011894898810483724,4.939796957499755e-05,1.8474952579715463e-06,0.0005967033501352549
ASG,0.004392926493945835,0.0034451939008536135,0.001184743948676961,0.00047324918510117806,0.009220548394700963
ASM,0.03399896128630377,0.021174676336841138,0.008296712707756032,0.0056626984075342675,0.03669888369055335
ASP,0.0020579387738448767,0.0017408853085605573,0.0005751893069732566,0.0004913372054736294,0.00137220389290585
AST,0.0015131269171817737,0.0005638993811409001,0.00030908224799886983,8.982777656621486e-05,0.002804691128969189
ATG,2.5364261101454466e-05,1.2276817267540908e-07,3.69801986822135e-06,3.958565689669671e-06,0.0
ATS,3.8043782586810725e-05,7.552467364463166e-05,1.7522838759875247e-05,1.805011578331766e-06,0.00019802344653294568
AVC,0.0007632609232789108,0.0021686244133638163,0.00045541970565112346,6.380810839200667e-05,0.004946126356182532
AVG,0.0005305566182476174,0.0004361210205527322,0.00014627120690986672,6.760970238248133e-05,0.001029428314112344
BAB,0.0,0.0,0.0599439607489432,0.058751402044201845,0.05344895443285486
BAF,0.007818507447319548,0.009880967509244398,0.0027045814601621334,0.0017300639513554113,0.013297586780834633
BAX,0.0007497531349313976,0.0009665127314010772,0.00026237211124066807,0.00019642798169583134,0.0009546098920972965
BBC,0.002972992901673455,0.0023179179561564163,0.0007996224830832146,0.00027228000546980713,0.006782596938025352
BBM,5.178923020602771e-05,2.9369962128232153e-05,1.2179512281349953e-05,3.569226003944683e-06,0.00011016959334710682
BBS,0.0005546374284754542,0.0001577756183218899,0.00010551757667829419,7.013074107515538e-05,0.000489136225729785
BCA,0.006377191467249973,0.0031029997079833464,0.0014181206370766004,0.0013060260458164193,0.002259959039881686
BCC,0.0016790006778348858,0.00624403723665686,0.0012360575250480858,0.0006251798167977739,0.008060080806883266
BCE,0.0014652291411304894,0.0002897157428898973,0.00025855133129435034,0.000124910608849544,0.0017555167000554886
BCF,0.0010199403915741047,0.0005513228100602447,0.00023555766834414585,9.597095784731938e-05,0.0018110093152407989
BCG,0.055428768519044366,0.055442228823364685,0.01685181147689853,0.009605240643975185,0.09704814884699467
BCM,0.07950909647836218,0.061398014090356695,0.021290847172346767,0.014638720357523184,0.09290337066337409
BCR,0.012480863754893259,0.01896397546400418,0.00482459129301479,0.002730118592564732,0.02801957039431592
BDB,5.371710633179477e-05,9.243822017616798e-06,9.25983977012993e-06,4.627028543143056e-06,6.105163275284174e-05
BDG,0.002216483423481783,0.0005478457396237971,0.0004085360841144786,0.00018217816203548685,0.0029541899717042555
BDT,0.0004381617968404054,0.0021247541105977215,0.0004012978737902481,0.0002147431235083213,0.0024770678281972524
BDW,0.00016929218831185648,0.0008904840672966573,0.00016610398415577263,7.678378066073435e-05,0.0011689251642056835
BED,8.565382010690533e-05,4.550728188572724e-05,1.96559954163633e-05,4.101292863258644e-06,0.00019748588852249544
BFC,0.0065164682744660325,0.0015245219209326668,0.0011874034992299027,0.0006720600818598109,0.006894401480441388
BGE,0.02038013894779689,0.02571777494219381,0.007043789222654481,0.003565640788537486,0.04589557624923881
BGW,0.00021414069111094634,0.0003294448098551137,8.342499849965044e-05,1.4365151291577797e-05,0.0008742790772709359
BHA,0.00039074107242116813,0.0031533149924092164,0.0005579214153918042,0.00021193474290377574,0.004471851942197858
BHC,8.960275470890662e-07,7.745197954541254e-05,1.2441774611419609e-05,4.257744817099741e-05,0.0
BHI,0.010498548041613709,0.001682216222915244,0.001789980079855036,0.001425878777617748,0.005494501283537916
BHK,6.539932311422505e-05,0.000171496931675158,3.674595683144431e-05,1.9663941812872205e-05,0.00022681498255966716
BHN,0.013357758894315,0.004358868356937874,0.002630125746804241,0.0007579307968675703,0.023943048761240093
BIC,0.01883439334610703,0.0025707931843988925,0.003140152203465438,0.002180551620435521,0.013446880646510773
BID,0.0,0.0,1.0,0.9999999999999999,0.6555505177210403
BKC,0.0007128741293576451,0.00032633589378905695,0.00015526065353299354,7.325783762279353e-05,0.0010749753948684432
