mack,doanhthuthuan,loinhuangop,loinhuanthuan,loinhuantruocthue,loinhuansauthue,laitrencophieu
AAA,0.05095885361695412,0.10981365518103925,0.08214368216600325,0.11688187348498535,0.13536273201457907,0.2044341172465849
AAH,0.010335869453255037,0.06842191753120248,0.07631703575911536,0.10881870143873137,0.12808820545600122,0.20666893601906258
AAM,0.006772599075529425,0.06709672314484987,0.0756881298707236,0.10813616688214577,0.1274874660019612,0.19549484215667412
AAS,0.007668491825618178,0.0740829747121376,0.0774558933585294,0.11043388907124171,0.1296330847390706,0.20956976038598726
AAT,0.008274816813381882,0.06855270574758338,0.07574672077621122,0.10834059270950222,0.1276334776607369,0.20351650953868014
AAV,0.006370243112268535,0.06696862546396075,0.07553915469940493,0.10798127107508225,0.12730509089029884,0.20187369573904423
ABB,0.016855437148072853,0.06697127370883321,0.10971365673235502,0.12504690248514133,0.14284495171721964,0.2044341172465849
ABC,0.010248735969837008,0.06700026949344999,0.07603404543877268,0.10865915761646112,0.12800497702716027,0.21494220551452634
ABI,0.013769560516083029,0.08695352121752442,0.07972505578244238,0.11367723136747845,0.13273938564962112,0.2044341172465849
ABR,0.006329018868839068,0.06758879599583727,0.07615734882660759,0.10882414482406429,0.12809151527649382,0.21772462888688268
ABS,0.00762161603710027,0.0671523063051824,0.07592568266835686,0.10847137455763031,0.12770825891809262,0.2049077212248583
ABT,0.008244331323540483,0.0700661917061743,0.07716409815796672,0.11019638996381406,0.12967923652465024,0.30717658028327444
ABW,0.007563238505927295,0.07474938746028353,0.07795599120189836,0.11122023362124685,0.1303887879731237,0.22056625275652317
ACB,0.1034844757576516,0.06697127370883321,0.4278414327121076,0.551765796752773,0.5454937540015399,0.2587357733804964
ACC,0.008698741230254131,0.07012741788482085,0.07673640675220422,0.10969953736769447,0.1289639152110058,0.21186377965574912
ACG,0.020163946710621973,0.10297918114047595,0.0846972594571196,0.11933021760489797,0.13810002247009476,0.2456672636050143
ACL,0.012354110850425582,0.0724191843716095,0.07595628826095294,0.1085474304577497,0.12790679741266395,0.2075421433540042
ACV,0.0851502692367361,0.4644512236061022,0.2984036705587419,0.41087849585446645,0.41575277393195254,0.2746015066526559
ADC,0.007676565098496364,0.07098014331557252,0.07602061195216041,0.10864081319309166,0.1279949386775067,0.25681175721876065
ADG,0.007859743153739876,0.06906799234011575,0.07618762072084831,0.10884320503496861,0.12817003725939805,0.21668862018440957
ADP,0.006235587214410316,0.06697127370883321,0.07574614777763185,0.10826926177282993,0.12764456276119357,0.2044341172465849
ADS,0.011935616581820623,0.0708050689578479,0.07664756403439679,0.10963961122043414,0.12903956969619232,0.2044341172465849
AFX,0.013432797062317415,0.06898362018083955,0.07625044517199367,0.10900371133294944,0.12833959559603264,0.21624461645477824
AGF,0.00800899126087462,0.06845527289387904,0.07572990064069471,0.10818852053427327,0.12754938823116344,0.20242130033892286
AGG,0.012930239863513344,0.08404848799019263,0.08052379413660758,0.11463734887582251,0.13414020160628526,0.23761599597436622
AGM,0.007078524260249684,0.06695931027195866,0.0718146964358851,0.1029614298791907,0.12138790364886684,0.0
AGP,0.009011071887234642,0.07367634165081571,0.07668967939583346,0.10954619979234119,0.12886141766547443,0.23440436899669959
AGR,0.0076802425277402225,0.07563046635863023,0.07837543206284107,0.11182772328956783,0.13100811021724823,0.21371379519587966
AIC,0.014479317987436457,0.07216968173805591,0.07599290540131337,0.10859646661512146,0.1279275935918718,0.2044341172465849
AIG,0.049573974115293865,0.12350586529006616,0.09188543943617496,0.1302739977312203,0.1485898295959579,0.26372341527668836
ALT,0.007687061917274413,0.06835577378316209,0.07580519383032479,0.10834978605026564,0.1276868759930153,0.208814954045614
AMC,0.006794664725220319,0.06881596340467433,0.07587511104946701,0.10843738853974356,0.1277985382940557,0.2325691535808901
AME,0.018030441775637417,0.07134157693889207,0.07619797365625433,0.10887838910343901,0.12821616965093258,0.2096437610075925
AMS,0.018244681407922885,0.07609711586702775,0.07721112511796832,0.10964767213651198,0.12900561991897447,0.21791703050305625
AMV,0.00731961918734555,0.06791246115055126,0.07564281475845508,0.10840193908050187,0.12772755081529502,0.20496692172214248
ANT,0.011288877603734822,0.07702647945310918,0.07706031679423908,0.11006389620533878,0.12942670193788142,0.26148859650421064
ANV,0.023419263341106326,0.08309599268892831,0.07760349036784221,0.10992691754963263,0.12884925511780249,0.20912575665635594
APC,0.006694288594582153,0.06788467758240109,0.07542600571065589,0.10783941570047338,0.12712542018138936,0.18892358695813047
APF,0.02919373106621118,0.08390470980944943,0.07826955843023141,0.11168445623627606,0.1315485878949333,0.28086195924045765
APG,0.006694964059865691,0.06405412028700351,0.07346880537586248,0.10518308527534749,0.12393010775113245,0.19333402400580166
APH,0.05589339617753512,0.11842805659778265,0.08239679709361455,0.11719571424854641,0.135322232886674,0.2044341172465849
API,0.006968873266250062,0.06915464565867656,0.07549997740135947,0.10799124977438672,0.12716166820304894,0.20100048840410262
APS,0.007068623367651159,0.06732959100208875,0.07607447047501628,0.10870353537167335,0.12818807466816864,0.2044341172465849
ARM,0.007389709976701969,0.06801972641033714,0.07583632607734817,0.10839672466106702,0.12776333675429377,0.22713750795506685
ART,0.006238423345821623,0.06682093275312521,0.07543943868339197,0.10782664786834488,0.12712282726273938,0.20123729039323932
ASG,0.012937712061217393,0.07575006289285613,0.07697417469285107,0.10991824434676738,0.12897544317563203,0.20915535690499804
ASM,0.04826742345217347,0.10670713778740998,0.08099310104348695,0.11494170262365516,0.1339476098749506,0.21217458226649105
ASP,0.01780390046238011,0.07629276207638824,0.07561987964476802,0.10827374974928339,0.1277401147642768,0.20641733390560482
AST,0.010889176616431333,0.09036948844814834,0.07973649708185061,0.11367605030963454,0.13268119182818042,0.2514837124631847
ATG,0.006280420137032895,0.06708680354562106,0.07575131914996949,0.1082744648267676,0.12764480599083566,0.20444891737090592
ATS,0.006412681191569315,0.06704746857311199,0.0757582290112399,0.10827673884343689,0.1276495088354051,0.2052777243328844
AVC,0.008867856131402604,0.07861118430978085,0.08155704405540838,0.11622163811431702,0.1351647557013311,0.2044341172465849
AVG,0.008638881255117652,0.06787828934618088,0.07596464867127846,0.10855555964619545,0.12796326284371431,0.2150606065090947
BAB,0.017855930584837473,0.06697127370883321,0.09772767598239193,0.13487748602172933,0.15281180056267818,0.2044341172465849
BAF,0.025666878846889726,0.08820772872612676,0.08019977750369249,0.11657150443364138,0.13570474958937473,0.2244882857015999
BAX,0.00649096600540995,0.06815968128094045,0.07626854422297637,0.10898425288331526,0.12830603135716553,0.25240132017108946
BBC,0.012465992419093744,0.0848594098946475,0.07779449073609783,0.1110478972240823,0.13054889189412636,0.29575088430742824
BBM,0.006440205329931355,0.06736781245743097,0.07575954304809301,0.10828710061846678,0.1276605039753711,0.20917015702931907
BBS,0.007479446451459945,0.0680196170759048,0.0758848402608184,0.10845278567021088,0.1277985173866987,0.21969304542158155
BCA,0.025579966858116584,0.0717942214266879,0.07495145377752799,0.10715247479557781,0.12636181309884975,0.1642813799635917
BCC,0.018439424820327094,0.07561449460920895,0.07533301229779127,0.10809754560175669,0.1274421451031355,0.20369411103053267
BCE,0.00712503861085592,0.06953320969351297,0.07663750475861779,0.10945639151642039,0.1289400112268844,0.220507052259239
BCF,0.008901303298600727,0.07273590899141791,0.07776974650743802,0.11107800733982197,0.13030401420214116,0.2510841091065165
BCG,0.02153196593004426,0.1000639843131625,0.08948522897192297,0.1293685674965926,0.14866916207165573,0.2044341172465849
BCM,0.02441243192568068,0.16458369884881463,0.11417318407620666,0.16002751102492374,0.18512689908730423,0.23289475631595308
BCR,0.00857733075726582,0.07064455281336393,0.08014687311072996,0.1147469116204111,0.1340870476554255,0.21267778649340657
BDB,0.006477213380344865,0.06714707923739088,0.0757579899499227,0.10828798270631586,0.12766168149817853,0.2044341172465849
BDG,0.012591312496717843,0.07595873172942158,0.07891059684760734,0.11268774778269375,0.13199112695690637,0.3019817366465879
BDT,0.006893738111168057,0.06853482558816634,0.0754890800152503,0.10798357235538603,0.12728911617408312,0.19934287448014565
BDW,0.007233541036486773,0.0698807874782832,0.07639266671901139,0.10921859330767518,0.12853812462936215,0.24725087690736605
BED,0.006513802431635836,0.0675792809990109,0.07586410211217565,0.10846973022720863,0.12783102641659677,0.23955481226042302
BFC,0.03897847480142334,0.10707139828468702,0.0840233152475032,0.11948263595587373,0.13829808598678703,0.2879068184172747
BGE,0.010706951347198707,0.08506121552816867,0.08261733403093768,0.11815094879483734,0.13745806614188663,0.21167137803957556
BGW,0.006865309816099277,0.06897523554199116,0.07598097373062172,0.10858361645180833,0.12793046015632206,0.21380259594180592
BHA,0.007509599212020709,0.07396917130161097,0.0784924361482362,0.11184969667317286,0.1317022026464181,0.2044341172465849
BHC,0.0062623077022303025,0.06702230930570782,0.07575598324134859,0.10827895285015521,0.1276520546092887,0.20542572557609487
BHI,0.016329995308626305,0.0660746859015776,0.07587633274050148,0.10849729361808665,0.12784611366628135,0.20564772744091053
BHK,0.006776464150532598,0.06810414376731547,0.07579891802102079,0.10839105639676004,0.12775875701285813,0.21852383560021907
BHN,0.03499462871233825,0.12986266109411326,0.08339422010055948,0.11921888022543091,0.13767006295270007,0.22883952225198695
BIC,0.021153374962331765,0.10113382322877068,0.08585941230029821,0.12199325173622594,0.14008630299148814,0.25077330649577456
BID,0.2091942167784518,0.06697127370883321,0.9052099138772343,0.770858779752517,0.7528526254158454,0.2044341172465849
BKC,0.008221106584406307,0.06972709063997376,0.07675776949867176,0.10966404853466631,0.12898626418510592,0.27241108825314136
BKG,0.0072468320324365195,0.06778945903370939,0.07605299716050784,0.10866775720719023,0.12802338632421176,0.20758654372696733
BLI,0.010611752362286371,0.07329473572332607,0.07701197282598973,0.11000212585061032,0.12926702295628978,0.2202110497728181
BMC,0.006918976816247098,0.06851964498575684,0.07624622463422992,0.10894734414885852,0.1282802159494867,0.23493717347225718
BMF,0.018201611427326073,0.0691647521511764,0.07606722380760894,0.10869754001357314,0.12804646406300466,0.2044341172465849
BMI,0.024159203003904176,0.07424204896542032,0.07995275585104068,0.11402748191593033,0.1335595882888717,0.2286915210087765
BMJ,0.008107703350938621,0.06921737571299812,0.07669293709929333,0.10955231014454624,0.12885308631362974,0.21127177468290737
BMP,0.022385054084917175,0.12419405322953718,0.09488205130210282,0.134460607141892,0.15230178180270745,0.38356002190418403
BMS,0.0072583548238464015,0.07195787058073422,0.07728040270419521,0.11040770333626046,0.12967378146613387,0.2044341172465849
BMV,0.008509069337159328,0.06807028084239206,0.07579863332967154,0.10836135016202525,0.12769126913254356,0.2044341172465849
BNA,0.012274780294681303,0.07214899620693078,0.0768522296717332,0.1097275573910125,0.12898260915210383,0.23603238267201446
BNW,0.0072396958190639946,0.06953858902070148,0.07668249061068849,0.1095613240910419,0.12892075537956535,0.22453268607456306
BOT,0.007683840752403036,0.07725222384388754,0.07961390835691895,0.11351360197945169,0.13382638042222814,0.2664910385247236
BPC,0.00717640854988638,0.06767736212193638,0.0757682684571779,0.10830148537628442,0.12767220565689016,0.20875575354832981
BRC,0.007701786209847008,0.06934856795334597,0.07616477693994218,0.10883943887099777,0.12818467480869136,0.2303935353056966
BRR,0.0076293866098811084,0.06975483765144547,0.07739704691294741,0.11145891215712417,0.13094066373643073,0.22185386357245404
BSA,0.007271736982843826,0.07021404412600074,0.07691710039009404,0.1098543370408571,0.12939401451148821,0.22000384803232348
BSC,0.006274601106611954,0.06714289711353207,0.0757893113914231,0.10832778780728783,0.12769834963843724,0.2044341172465849
BSG,0.008431146807876825,0.06967517817009208,0.07643583045621889,0.10921661424056149,0.12876126381137584,0.2044341172465849
BSH,0.008469312091524756,0.06874104950145156,0.07655223434440651,0.10936328867517911,0.1286647883289848,0.2347743721047257
BSI,0.011171287314628627,0.0918694870603584,0.08376774627603648,0.11915691944692947,0.1379247266299243,0.23338316041854754
BSL,0.00950709670992031,0.06858853518335561,0.07653620005476343,0.10934058126825166,0.12864909949303416,0.21639261769798868
BSP,0.007612971564282794,0.06780762439311959,0.07587784012265637,0.10844796024328743,0.1278097934548134,0.21229298326105941
BSQ,0.013209261411288888,0.07121816923410329,0.07769409880586305,0.11091694148385572,0.1301340308551174,0.23521837583435704
BSR,0.436686178730201,0.07952379496151407,0.08590256455942186,0.12262999571873105,0.14221195705289655,0.20742374235943584
BST,0.006528885004375126,0.06727754190354528,0.07577785303499075,0.10831361644135741,0.1276848861614499,0.2044341172465849
BTH,0.012584496325297413,0.09625630476225455,0.08955046237538578,0.12700920479873548,0.14531621333320194,0.6248020483372061
BTP,0.007486092094473495,0.06749474585113956,0.0763174188302411,0.1090199409242562,0.12851527153191206,0.2044341172465849
BTS,0.015366176931779045,0.06675542220382044,0.07181610581780815,0.10409352818574391,0.12272237567580388,0.18073911820859298
BTT,0.007203075223324195,0.0707576893734587,0.0766705403135498,0.10952196252861972,0.12881540544566808,0.2558793493865349
BTV,0.010345429298462147,0.07153370953954688,0.07635436760968393,0.10904899588153323,0.12838153821705492,0.2044341172465849
BTW,0.008200055811114354,0.07324523520463681,0.07666320839699109,0.10951532566934272,0.12881572540002706,0.2788491423327956
BVB,0.014304749368269157,0.06697127370883321,0.09135500082954834,0.11651578064356925,0.13539073271851162,0.21278138736365387
BVH,0.14570659313285286,0.0,0.09324223092489228,0.16359393056244897,0.18132693028544097,0.2460076664643983
BVL,0.009052214133034949,0.06969710375429365,0.07608665721119631,0.10883138756947545,0.12800557559197903,0.20576612843547887
BVS,0.00970137195646732,0.08106763724609047,0.07894208665266465,0.11260024254916604,0.1319081527059307,0.23869640504980244
BWE,0.020087376996413928,0.11569346000708129,0.08712665154502697,0.12391564462349099,0.1441718865508091,0.2402948184764752
BWS,0.008840745947930407,0.07953435236362572,0.08018393697210889,0.11429327944773007,0.13399715116210717,0.2044341172465849
BXH,0.006830968627974461,0.06746732610923062,0.07573470401757537,0.108285233338164,0.12765808608812743,0.2044341172465849
C21,0.006561859800190971,0.06877561544139688,0.07567343164911795,0.1086969267206889,0.1280317410586628,0.2155638107360102
C32,0.00842876440651074,0.06875350001422569,0.0758861143250112,0.1085097731195999,0.12792676372531614,0.21560821110897332
C47,0.009537749615586486,0.0693839348586567,0.07576609598708038,0.10848269724453233,0.12773820862194318,0.20603253067325766
C4G,0.01733119129623756,0.0800645164721366,0.07905122455438152,0.11277613756687856,0.13209287865118507,0.21186377965574912
C69,0.010241738838928545,0.06856238611790738,0.07620435241355746,0.10887866530775084,0.12819102176912375,0.2044341172465849
CAD,0.006287860679420746,0.0669587215642682,0.07455467980423126,0.10663084081380997,0.12571325792176113,0.14921485340476862
CAG,0.006369843623672461,0.06702046248950738,0.07566475219411448,0.10825194505781877,0.12762809810166922,0.20372371127917477
CAN,0.008621124456098852,0.07092761788753507,0.07579146477796951,0.1083289629809231,0.12768289983038422,0.20899255553746654
CAP,0.008306030352644997,0.06960275897211533,0.07639131238538628,0.10910953326812381,0.1284141198424963,0.24768008051267631
CAR,0.006381557087754949,0.06740117791208282,0.07582111808089152,0.10837016114177984,0.12773957646653777,0.2044341172465849
CBI,0.01389141676899154,0.06692698520218276,0.07349484585811696,0.10509297393773633,0.12390048219778571,0.2044341172465849
CC1,0.04177385414192856,0.08089679377523817,0.08065162847000536,0.11512580895936911,0.13409118786823934,0.2135213935797061
CC4,0.007832777141584993,0.06797480375249788,0.07623273259551933,0.10893783480036877,0.12828702447861082,0.20841535068894582
CCA,0.010778745692500175,0.07133563043305204,0.07590697845998927,0.10852400687875671,0.12789352513717414,0.21326979146624833
CCI,0.007718215336665051,0.06814840509515305,0.07639826365855028,0.10914126103503684,0.12846155633349415,0.22885432237630798
CCL,0.007290520775823418,0.07001132761292271,0.07662708960912665,0.10939899044211174,0.12869889434842074,0.21390619681205325
CCR,0.006858715916518455,0.06837487531545877,0.0760682177348636,0.10871449104989109,0.12806641572661742,0.2044341172465849
CCT,0.006781766827806166,0.06788010199164125,0.07584315284562328,0.10838543300262386,0.12773537060072013,0.2064025337812838
CDC,0.010318938656717173,0.06900700211128774,0.07583939379508747,0.10862588298751541,0.12835920952883031,0.22303787351813759
CDN,0.011318052146155867,0.08186334177342905,0.0815232524313941,0.11619277748643979,0.13514401251434557,0.24948569567984374
CDO,0.006313367997703765,0.06703099578252537,0.07571745443785002,0.10822859057690122,0.12759662118849202,0.20353130966300118
CDP,0.017462206806001915,0.0737594295994728,0.07615864355844236,0.10881371415959742,0.12807278992191065,0.2044341172465849
CEN,0.0065675671482311165,0.06713677678302835,0.07576135150124892,0.10827413102447275,0.12764527871725045,0.2044341172465849
CEO,0.010811485761151672,0.07707441494871502,0.07950388400032109,0.11336781189726139,0.1318717621495873,0.2044341172465849
CET,0.006533720074687325,0.06710534182415029,0.07574933440361548,0.10827329037490067,0.1276461832026734,0.2044341172465849
CFV,0.007263111278174934,0.0689536634748329,0.07662189627044257,0.10952601208348632,0.12881494653201034,0.25946097947222757
CHP,0.009084331535998932,0.07909619655040565,0.08091722272303775,0.11527787391423336,0.1354532087563088,0.23603238267201446
CHS,0.008439501595398323,0.07041668723932407,0.07643207706339736,0.10920320885643911,0.12852237242342887,0.2044341172465849
CIA,0.006666317367458238,0.06796041816518233,0.07586899484362722,0.10839501779667983,0.1277569500306933,0.20801574733227762
CIG,0.006566030953592105,0.06778262439945536,0.07593872063453012,0.10962891860257917,0.12924727163818012,0.2044341172465849
CII,0.016873977861506295,0.11539275375953675,0.08608754521418346,0.12129220072217795,0.1435425635433215,0.21602261458996258
CJC,0.007590958861471096,0.06785676513878824,0.07580372366356883,0.10843435906688907,0.12783917282232482,0.21889383870824516
CKD,0.010626876016251643,0.07057526045535487,0.0774118337443445,0.11047683938129428,0.13007979740392858,0.2044341172465849
CKG,0.010929094438601645,0.07711718431388008,0.07829579505730891,0.11161396870775558,0.130786573044557,0.22404428197196857
CKV,0.00941338268603202,0.0682950772635613,0.07580321016162841,0.10834538759111625,0.12771381339928722,0.21470540352538964
CLC,0.01915229479220087,0.07868301615939913,0.07869667864990172,0.11228689292429724,0.13138333409343614,0.2807879586188524
CLH,0.008548963566198933,0.0696848624131886,0.07650202940699401,0.10929334256819305,0.12860717875325217,0.25213491793331066
CLL,0.0073623738475890104,0.07099228512848459,0.077644944353493,0.11089513188579789,0.130117108219135,0.24477925614575163
CLM,0.06755171329701176,0.07818274202356436,0.07815551822800691,0.1121814982356305,0.1312104259991798,0.3972205366525079
CLW,0.010796132348099258,0.07261011364451675,0.07678511021901556,0.10968393728233047,0.12897470013804394,0.265277428330398
CLX,0.008047693408598854,0.07154452929123499,0.07914701870413106,0.11290759513855057,0.13256510136282937,0.2044341172465849
CMC,0.006510742350395875,0.0672644537995286,0.07575235600689145,0.10827640275046815,0.12764655384259077,0.20475971998164785
CMD,0.008934792856604751,0.06949545971274321,0.07633240277882732,0.10906237933427314,0.12839083893221656,0.24241123625438454
CMI,0.006362147798010963,0.06689761415362805,0.07553719589612203,0.10783701876238753,0.12713505205621725,0.2044341172465849
CMM,0.015499956842458605,0.07811079182300484,0.0770213729400789,0.1104643127380647,0.12985340784969046,0.2044341172465849
CMP,0.007578001371240957,0.06971761588918637,0.07621860203312915,0.10890778522789395,0.12827419394321343,0.2044341172465849
CMS,0.006942583288617082,0.06741191834251979,0.07575395278014696,0.10841423424308744,0.1277680136970568,0.20732014148918854
CMV,0.022361693941668565,0.07237278063314878,0.0757440117895051,0.10856707601160523,0.12788435467529433,0.21076857045599184
CMW,0.0067113393123736315,0.06843008650408981,0.07600491226089565,0.10865602311330823,0.12799880298785463,0.2044341172465849
CMX,0.016666088977844416,0.0787153911669,0.07726713862915018,0.11065953389931746,0.13005832054946012,0.2044341172465849
CNG,0.018540206022813015,0.07517136208152521,0.07751654421883447,0.11067123687473596,0.12990420380406797,0.2044341172465849
CNT,0.007051744677346521,0.0719764218805071,0.07828403875011397,0.11177965716561454,0.13098357118080936,0.24392084893513108
COM,0.020603679124085526,0.07267691775117167,0.07629603172365663,0.10897924313973831,0.12831189942014473,0.23253955333224802
CPA,0.006341610017808657,0.06716552322400397,0.07547605301112031,0.10791776880214328,0.12723023696074745,0.2044341172465849
CPC,0.006900467860138192,0.06815279180808621,0.07594285112558927,0.1085609797526944,0.12787230247697157,0.23761599597436622
CPI,0.006365390160235889,0.06709845080014978,0.07576188110136303,0.1083150352035718,0.12769410952707827,0.20524812408424234
CQN,0.008552772139006076,0.07258129545970252,0.07775150633794391,0.1114308716153043,0.13061140526969114,0.22793671466840323
CQT,0.0083093204163338,0.06844284293173561,0.07581232534317259,0.10835786506696575,0.12774335146634738,0.20678733701363095
CRC,0.007799670629164274,0.0690818708693228,0.07644364669911002,0.1096967412982853,0.12930553304172582,0.22352627762073204
CRE,0.011619798936775888,0.07549684829896867,0.07721288535632702,0.10949942033394909,0.128710657234493,0.20578092855979993
CSC,0.008301160358309783,0.07000030178141274,0.07633863457979426,0.10884098025005287,0.12815304348737822,0.210487368093892
CSI,0.006275875165238787,0.06697848713041138,0.07554096721503537,0.10796574495338551,0.1272867893214588,0.19176521082777098
CSM,0.022722681779038936,0.08495499880407115,0.0768515323620624,0.11015045943339351,0.12954377808827794,0.2044341172465849
CST,0.039353445370442566,0.08082555635444633,0.0778696636236711,0.1119673802982918,0.13112240135260572,0.2526973226575103
CSV,0.012727938620573847,0.08149855528189291,0.0808411771443591,0.11520004495219474,0.13406785875320043,0.2460372667130404
CTB,0.008631425508778073,0.07092574413780005,0.07667834723043358,0.10952898663535698,0.12882215443135564,0.25562774727307713
CTD,0.07986898323482121,0.08747391069337589,0.08051865844806806,0.11643073820671164,0.13534943404899769,0.25357052999245194
CTF,0.0348255360450677,0.0803353568192091,0.0761974651434379,0.10949420130498065,0.12891212379322914,0.21260378587180134
CTG,0.2245722422087311,0.06697127370883321,1.0,0.778782037785985,0.7616445029325256,0.2044341172465849
CTI,0.010149607319795605,0.07924002052558735,0.07779982452851798,0.11104591225696746,0.1306462931524845,0.23324995929965814
CTP,0.006367760791337312,0.06699389422285133,0.07575373621235006,0.10827955101770055,0.1276542656001634,0.2044341172465849
