mack,eps,pe,pb,roa,roe,tangtruongdoanhthuthuan,tangtruongloinhuangop,tangtruongtongtaisan
AAA,0.383801255571892,0.16407562638384454,0.8863229064841968,0.5998335280250766,0.48842210071644254,0.0033315145094122696,0.02193679990337765,0.025327383710922503
AAH,0.3745128241032463,0.16491571494989393,0.8855897686542847,0.44440898686526953,0.5615752800213254,0.005663736682129564,0.02192605958324316,0.023150563404525776
AAM,0.3657028168685384,0.16285001772241636,0.885752688172043,0.41281020572405314,0.4280201425760224,0.003394932251219895,0.025475735387693137,0.019069687380003444
AAS,0.37679992531914397,0.16501986291595896,0.887504072987944,0.5506434067106729,0.47530978350394454,0.0031064856792207955,0.02194906008013495,0.03143148444844617
AAT,0.37266914047002264,0.1359510723212683,0.8855490387748453,0.4109862064627421,0.406848443602108,0.003308195759459283,0.021757862116986004,0.02850257537438926
AAV,0.37073210576676235,0.16112035592135854,0.886852394916911,0.32938120633557266,0.3207895210039575,0.003050127211592486,0.020547144331259037,0.0208916489016591
ABB,0.37963546407150695,0.1642672356252791,0.886404366243076,0.6872291996141389,0.4838009234543684,0.0033241659207174077,0.021589360679404285,0.02276922262092343
ABC,0.38103573012205655,0.16450948034192758,0.8861599869664386,0.5530722576132449,0.4731705749039346,0.003360793138385498,0.021131782512164937,0.030952160269057113
ABI,0.4062871945669677,0.16414640096851857,0.8898256761159987,0.4698858301596692,0.5497335439537483,0.0033628183399943183,0.021557545014100222,0.022938707413635583
ABR,0.3832294802679176,0.16437886383200073,0.8877484522645813,0.8050012238243844,0.9021461831690523,0.003033404832593942,0.021229863926223325,0.018307005812798753
ABS,0.37312422693645125,0.17181882626968456,0.8857934180514826,0.6215850794455703,0.6577078416151925,0.0029691191472396793,0.020740875388779327,0.010698727539954718
ABT,0.4537562136805993,0.16387365988611624,0.8876669925057021,0.4432802942644555,0.5628177446570826,0.0033691832593363245,0.021879855941909866,0.025142009718893583
ABW,0.38546990594879693,0.1639893159147299,0.8865672857608341,0.4379016761396658,0.5081025374233006,0.003495440113920484,0.021852093227599952,0.03294890298319718
ACB,0.41913463558076036,0.1639191167331833,0.8897849462365591,0.5770678212946314,0.4665735585547513,0.0033241659207174077,0.021589360679404285,0.025727261893727742
ACC,0.3786086023011039,0.16522010320430497,0.8888481590094494,0.5647198196115569,0.4809814065675101,0.0033706876948171624,0.02145429608752429,0.02754657521549727
ACG,0.4052603327965647,0.16440878479462714,0.8903144346692734,0.48978763395254954,0.5259355541433289,0.003357784267423822,0.021720878939164398,0.02094196469949552
ACL,0.3752012882447665,0.1668053388203776,0.8871782339524275,0.48149227055173716,0.5477234373428786,0.0036516699523151818,0.021733139115921698,0.01917561537544854
ACV,0.43473593316063386,0.1649093855154922,0.9027777777777778,0.5446535081464714,0.4659809565224529,0.003398114710890898,0.021756139612813488,0.02427869655601605
ADC,0.41404700226376345,0.16388689415804716,0.888237210817856,0.4937836114467164,0.5763980332031247,0.003297606848190309,0.021570717104831202,0.022628868026958678
ADG,0.382412658405097,0.1643305299692965,0.8866894753991528,0.4665312422433138,0.45575827923353657,0.003397709670569134,0.021521676397802007,0.023097599406803226
ADP,0.3727508226563047,0.16354568010348053,0.8941430433365917,0.4355326160502346,0.4517357120300919,0.002745536889625934,0.020576122930867198,0.018577122201183748
ADS,0.3807206702606829,0.16428449771910203,0.8870153144346693,0.5922123190097769,0.4948245165007538,0.0033197104771780033,0.02130180380636946,0.021455715477404238
AFX,0.38206259189245956,0.1640934638807949,0.8864450961225154,0.5375259241877292,0.8846301872990034,0.003302235880439041,0.0213452717057817,0.03962236669623824
AGF,0.37116385446568184,0.16227691620749501,0.8822906484196806,0.33678192814472885,0.4517357120300919,0.003394527210898131,0.021566056211187932,0.019797942348688483
AGG,0.3978155849611426,0.16395824414584861,0.8874226132290648,0.4625528692797623,0.513102516500549,0.0030300487842136116,0.021191664863103477,0.013942772400460789
AGM,0.21156853135429066,0.16353187042842218,0.8831052460084718,0.4179973668032055,0.4517357120300919,0.0029224237844305972,0.02055403434794909,0.01624935450127776
AGP,0.3982356647763075,0.16457047307343528,0.8933284457478006,0.468076718586039,0.5419269296744318,0.0033785570496400064,0.021675688535579645,0.026174807674483273
AGR,0.3800672127704264,0.16509984395067187,0.8902329749103942,0.46388247865335114,0.49254584719221206,0.0034066784205510517,0.021592400392649896,0.023921189571388852
AIC,0.37408107540432683,0.1691109791519939,0.8881964809384164,0.5974684749061683,0.5274480552326574,0.0034312122914693303,0.02195037728920805,0.02769752260900653
AIG,0.4211766902378119,0.1641861037843113,0.8894998370804822,0.4413459981343702,0.5548367368532497,0.003347021767445521,0.021670723670611812,0.023267084199515384
ALT,0.3762048122476604,0.1658559236601163,0.8854268491365266,0.4692718698234537,0.5094580743808897,0.003535828420290669,0.02170649096313517,0.023643128583345475
AMC,0.39808396928749795,0.16396975220839724,0.8876669925057021,0.8769911874918284,0.5380311619778788,0.0033750852754534572,0.021642150366103067,0.028391350979171913
AME,0.37685826973791686,0.16431384327860102,0.8857119582926034,0.487030971553886,0.6593093512243529,0.0036260366862378296,0.021905997475822125,0.02808680799226726
AMS,0.38338117575672714,0.16415157959666546,0.8870967741935484,0.4477033145436882,0.5018895733043206,0.003406736283454161,0.02187742417131338,0.01976881214994108
AMV,0.3731709024714696,0.1659261228416629,0.884652981427175,0.5585049342867341,0.4662596832141749,0.003657571968432315,0.021244353226027406,0.020407028322497786
ANT,0.41792107167028403,0.1638356832797058,0.8890518084066471,0.8607656613822446,0.6279173441717881,0.003850371161591994,0.022862493910441137,0.03518928008686096
ANV,0.3764848654577703,0.16710512384976917,0.8918214402085369,0.5080412577572846,0.4644995274822183,0.0033857320496255405,0.021845101887135045,0.019080280179547954
APC,0.3605918457840323,0.16318087452068922,0.88510101010101,0.24892857720730643,0.18170256572135524,0.0033889145092965436,0.021842366145213996,0.018108390821339197
APF,0.4368013255851945,0.16412223403716647,0.8899478657543174,0.43887251579176795,0.5517975309573251,0.0033308780174780687,0.021607396311328245,0.022491161632880053
APG,0.36406917314289716,0.16302954349817486,0.8867302052785924,0.025801139351430247,0.4055504275457107,0.0030325947519504143,0.02002623880473612,0.032347761609046254
APH,0.37869028448738595,0.16433628400057082,0.8853453893776474,0.6029081855222037,0.49018375929294844,0.0033110310417116314,0.021846723067532704,0.022628868026958678
API,0.37004364162524217,0.1616123255953121,0.8870967741935484,0.37046426470117866,0.29479873257137623,0.0033732915254570737,0.02193507739920514,0.019056446380572807
APS,0.37581973908375926,0.1649669258282353,0.8868931247963506,0.45504660365332666,0.6523105078863187,0.0030623941470516248,0.02170557904916149,0.02078836910610013
ARM,0.3906508903358305,0.16448703961995778,0.8923916585206908,0.6386236210362399,0.5429781767659249,0.0036799070490324457,0.021699702270219973,0.01941130516531388
ART,0.37023034376531544,0.16319986282389445,0.8880742913000977,0.32356687249202704,0.334182651712692,0.0028776957603272265,0.019155462283643346,0.016418839293989913
ASG,0.37646152769026114,0.1668519464736995,0.887504072987944,0.4474411531748067,0.645790477139421,0.0033228929368490064,0.021817947115474252,0.022292546641420496
ASM,0.37880697332493174,0.1644985476825064,0.885752688172043,0.5160683056144559,0.47482655184615885,0.0033260753965200095,0.02161955516431069,0.023764945778107335
ASP,0.37431445307941846,0.16523966691063763,0.8861599869664386,0.43729367085705034,0.5453545352645368,0.003259475195041381,0.021413665253807952,0.012406816466506893
AST,0.4112931456976826,0.16449509526374181,0.9003339850114044,0.6082793262355941,0.47587903009652033,0.0034453887027310714,0.021864860023231517,0.023579571786078415
ATG,0.3727624915400593,0.3517220664797758,0.0,0.5052580363281299,0.4517357120300919,0.00286999999421371,0.022436731408505852,0.0
ATS,0.3734159490303158,0.1787455291176999,0.8890518084066471,0.43852488098771747,0.485316125752428,0.0033563955577492026,0.02179302146686024,0.019315969969413295
AVC,0.41972974865224394,0.16432017271300275,0.899356467904855,0.6105821847103137,0.47217688463643265,0.003370340517398507,0.021601924827486144,0.014837863961971853
AVG,0.3830894536628626,0.16544796284276767,0.8934506353861192,0.6665088049297798,0.493358205698325,0.003404363904426686,0.021811158422559054,0.02384174357480503
BAB,0.3859950057177531,0.16415388120917518,0.8878706419029,0.48004019773890205,0.5150407637517069,0.0033241659207174077,0.021589360679404285,0.022681832024681225
BAF,0.3924478984340358,0.1645043017137807,0.8934913652655588,0.46712547452285624,0.5332275859248969,0.0033636862835409553,0.022754584090221935,0.02415952756114032
BAX,0.4105696749048986,0.16426435860964195,0.8905995438253502,0.462258706907954,0.5448948216692255,0.003312246162676923,0.021737496038240406,0.02035936072454749
BBC,0.4453662862610563,0.16404225300245354,0.8868931247963506,0.47403651550467735,0.5093051316162995,0.003438155839842428,0.02184469659203563,0.019008778782622516
BBM,0.3764848654577703,0.1648391863339456,0.8865672857608341,0.5742833787888892,0.6462724725382811,0.003307674993331301,0.02153758423045404,0.018844590389682617
BBS,0.38478144180727675,0.16411475379650986,0.886485826001955,0.5902046558936113,0.8748960377141808,0.0033239923320080803,0.02163404446411477,0.01966553235438211
BCA,0.34109314103012905,0.16331264183687094,0.8858748778103617,0.3396427720663159,0.3754253752436093,0.003579630637944293,0.026901462223659675,0.019689366153357257
BCC,0.37215570958482114,0.15522765249333687,0.8862414467253177,0.2619310682197715,0.417971934568387,0.0034005449528214824,0.023369720727358802,0.018608900599817277
BCE,0.39010245279936523,0.16387481069237111,0.8873004235907461,0.4886476230150514,0.5509461130152672,0.003944629830756795,0.022964932246818233,0.021384214080478796
BCF,0.41067469485868985,0.16426263240025965,0.8981753014011078,0.44750108777741227,0.47147872405057123,0.0034872814445820943,0.02203184160419043,0.02966778332428532
BCG,0.379355410861397,0.16419243321871307,0.8852231997393287,0.5677915493937272,0.48086182308454367,0.003376068944806313,0.02154741263661485,0.02322206480145122
BCM,0.3964853322131205,0.16555096000257782,0.8987455197132617,0.46415365198528336,0.5349207021772384,0.003126911284018324,0.021385294596848917,0.023031394409650043
BCR,0.37927372867511494,0.16403132034303236,0.8856304985337243,0.5770913794994068,0.48264820039334894,0.0031556112839604615,0.021044542742015893,0.023240602200654107
BDB,0.3798805106303531,0.16429025175037634,0.886852394916911,0.6315127849849659,0.8287141108622813,0.0033654221706342297,0.02152714788164411,0.028327794181904856
BDG,0.4499754953441154,0.16384086190785266,0.8894183773216031,0.5483197488749703,0.4715167787543345,0.0034193503963319554,0.021765056105000617,0.023418031593024646
BDT,0.3681882891082639,0.1625266411648001,0.8861599869664386,0.3416356910292459,0.4324436575792195,0.0029840477762418396,0.02101222045783756,0.014223481588390294
BDW,0.4066489299633597,0.16403477276179695,0.8901922450309547,0.49256065768725044,0.4620130336725696,0.0033499727755040873,0.021514786381111956,0.01966818055426824
BED,0.40188802539149104,0.16425515215960304,0.8927989573150863,0.4455890274508224,0.46442976057208557,0.0033035667272105513,0.02146686023560615,0.02065595911179376
BFC,0.4458797171462578,0.16391508891129128,0.8903144346692734,0.5306453822667861,0.4725106012302176,0.0033760110819032038,0.022131138903547065,0.01902466798193928
BGE,0.3785035823473127,0.16466426378320653,0.8869745845552297,0.5832261916832285,0.4804828940310557,0.003402454428624084,0.021766677285398276,0.020947261099267776
BGW,0.38017223272421763,0.1650002992096263,0.8903144346692734,0.4718619864133052,0.49570021243732865,0.00335523829968702,0.02162664782855045,0.02006805873707348
BHA,0.4016896543676632,0.16405836429002163,0.8901515151515151,0.5126308356499187,0.5737268026323111,0.0034301128963102564,0.021854423674421586,0.019112058578181483
BHC,0.37353263786786156,0.1650077794502829,0.8837569240795047,0.4419159933300821,0.4517357120300919,0.003178872171010339,0.0209832418582294,0.017904479430107388
BHI,0.3737076711241803,0.17127967353928164,0.8878706419029,0.5548985594969479,0.944907815774612,0.0033802350738301717,0.019036609495739945,0.023071117407941953
BHK,0.38624005227659924,0.1645204130013488,0.8904773541870316,0.46847678545197435,0.5194241563733997,0.0033136348723515428,0.021628066361398402,0.01920739377408207
BHN,0.3919928119676072,0.16487313511846402,0.8909661127403062,0.4759411800370116,0.5080305571765817,0.003358883662582896,0.021732835144597135,0.02078836910610013
BIC,0.42197017433312334,0.16400715341168026,0.8896220267188009,0.4775350358022188,0.5761303351321029,0.00342513668664287,0.021936597255827944,0.0243025303549912
BID,0.4232304137786179,0.1640451300180907,0.8901922450309547,0.4355326160502346,0.4645578496696553,0.0033241659207174077,0.021589360679404285,0.02566900149623294
