mack,doanhthuthuan,loinhuangop,loinhuanthuan,loinhuantruocthue,loinhuansauthue,laitrencophieu
,12782355466948.0,1488874039290.0,410860502242.0,407929704810.0,310126892347.0,1673.2919042189283
,1171901547172.0,50413302276.0,36663393826.0,26023785608.0,17826187239.0,151.0
,153483344374.0,4359664475.0,-3726008322.0,-6303936748.0,-6312368664.0,-604.0
,409538425164.0,247148422547.0,109802759224.0,102525900897.0,79901608933.0,347.0
,582832152244.0,54958501990.0,36798940.0,3378534748.0,-445414922.0,-62.0
,38485998242.0,-92032770.0,-13293446337.0,-13640457070.0,-13640457070.0,-173.0
,3035259000000.0,610514752463.5018,2181451000000.0,794660000000.0,610773000000.0,1673.2919042189283
,1146997928816.0,1007672064.0,18489275785.0,18467115634.0,14481951949.0,710.0
,2153284689756.0,694430340705.0,255532216318.0,256144304898.0,204717146978.0,1673.2919042189283
,26703698429.0,21460359350.0,26408028351.0,26281607352.0,17959180480.0,898.0
,396140857414.0,6291310700.0,11530034994.0,9572916021.0,2559401141.0,32.0
,574119095281.0,107555717064.0,91063176851.0,91276939023.0,81756052567.0,6942.0
,379455976931.0,270307841003.0,141919890391.0,139770503450.0,110266827396.0,1090.0
,27794702000000.0,610514752463.5018,22612156000000.0,21005871000000.0,16789768000000.0,3669.0
,703993977474.0,109683471516.0,63596109836.0,67743899378.0,53013436443.0,502.0
,3980864021638.0,1251359909087.0,574855564191.0,523893633928.0,420115071480.0,2786.0
,1748735062071.0,189327774868.0,13495578027.0,13175245015.0,10536956998.0,210.0
,22554602968650.0,13813367936240.0,14299443517504.0,14332852757948.0,11576593004986.0,4741.0
,411845847050.0,139317696152.0,17626554505.0,17598246183.0,14078596946.0,3539.0
,464199961680.0,72865929263.0,28352140710.0,27184379527.0,21114304155.0,828.0
,4121908336161.3467,610514752463.5018,689896727788.6925,586855616546.8632,464930924081.62933,1673.2919042189283
,1629125227359.0,133233448330.0,57890479910.0,64905543676.0,56053340028.0,1673.2919042189283
,2057034336851.0,69933797265.0,32386833450.0,34786636420.0,27927396520.0,798.0
,506856558830.0,51572479984.0,-1043418673.0,-3824246432.0,-3824246432.0,-136.0
,1913398478509.0,593473568303.0,306828547284.0,301619529470.0,261003901664.0,2242.0
,240919812502.0,-415757714.0,-252484468977.0,-251401359996.0,-251401359996.0,-13813.0
,793261193442.0,233016962350.0,60595199807.0,60481183498.0,48894940952.0,2025.0
,412896892995.0,300927415668.0,168857093433.0,168543782608.0,135152065932.0,627.0
,2356140451956.0,180656968506.0,15847192847.0,15497804753.0,11372576718.0,1673.2919042189283
,12386543096944.0,1964710710159.0,1036492666411.0,1042237331013.0,841610270466.0,4006.0
,414845942519.0,48114650662.0,3792037587.0,3813970236.0,1700205147.0,296.0
,159789927069.0,64107327938.0,8282239910.0,7963194521.0,6186953400.0,1901.0
,3371087038356.0,151878369023.0,29017023770.0,28850845768.0,22967968509.0,352.0
,3432318861415.0,317144589285.0,94083327933.0,65287342743.0,54689190246.0,911.0
,309827146588.0,32708488649.0,-6636221641.0,6284158251.0,3334576695.0,36.0
,1444280778883.0,349442170998.0,84398161763.0,85001474438.0,71608857807.0,3855.0
,4911265972913.0,560372104802.0,119281689339.0,78513586158.0,48406232686.0,317.0
,131101428097.0,31742943973.0,-20560066182.0,-20359327376.0,-20859878771.0,-1048.0
,6561666425115.0,588476936618.0,162057709291.0,161758049231.0,156869218933.0,5164.0
,131294482810.0,-101377977814.0,-146254789137.0,-146174367275.0,-149252024828.0,-750.0
,14192696932359.0,1788244853719.0,427115971923.0,422794530291.0,308499580446.0,1673.2919042189283
,209580465103.0,75877336939.0,-15809478823.0,-13167823681.0,-19403382296.0,-232.0
,238090038677.0,12452373034.0,21085440133.0,20569033750.0,21839072600.0,1673.2919042189283
,329859793051.0,36436210011.0,5791403260.0,6037181300.0,4772506039.0,1534.0
,810594636.0,-5224703630.0,-19697377904.0,-20964065888.0,-20964065888.0,-216.0
,1915534107117.0,305083677969.0,78865970001.0,78102786600.0,53476646270.0,319.0
,12013117890000.0,1380915215783.0,336968232319.0,316035009775.0,253265295115.0,523.0
,3306339272217.0,323943757585.0,-8109153517.0,212569540.0,3839413830.0,134.0
,1330042251352.0,813143277614.0,256266995959.0,256088365005.0,202378837412.0,3179.0
,12813696308.0,4014934951.0,332114297.0,246438633.0,9773309.0,1.0
,50615224450.0,2647951665.0,775877300.0,354145677.0,198740216.0,57.0
,752328702442.0,404514411148.0,373185608428.0,376658166180.0,302171925726.0,1673.2919042189283
,686885399725.0,31520937662.0,14032497749.0,13560277750.0,12805817408.0,718.0
,3321210000000.0,610514752463.5018,1411691000000.0,1260278000000.0,1011255000000.0,1673.2919042189283
,5553656895109.0,738017016685.0,286019649910.0,393229314298.0,323869639379.0,1355.0
,72989804812.0,41299972630.0,33549185182.0,33865001975.0,26578738211.0,3241.0
,1780711929951.0,621655021573.0,131548056734.0,131607923042.0,116700028048.0,6170.0
,58481897633.0,13780658966.0,860266974.0,844923152.0,640540399.0,320.0
,355507372286.0,36432410381.0,8907066354.0,8692467719.0,6186113313.0,1031.0
,5528816582131.0,167608835065.0,-51036595693.0,-52895753018.0,-51542684979.0,-2713.0
,3487978470438.0,300372359617.0,-26532260780.0,-8133203878.0,-8133426100.0,-50.0
