doanhthuthuan,loinhuangop,loinhuanthuan,loinhuantruocthue
2248612114714.0,332019975993.0,179896872054.0,180411266840.0
288314094437.0,39643340901.0,21829609909.0,30783088518.0
14731065489102.0,1124839400134.0,-134492723412.0,-179590236398.0
137548454537.0,46373400608.0,21581217021.0,21810079885.0
1036420364313.0,154822528666.0,101069936875.0,101676771778.0
1855578766161.0,504857378426.0,327211422006.0,328271194726.0
37677603513.0,10198016654.0,-22178947.0,874099788.0
207053172796.0,52154339888.0,34251358303.0,33507900000.0
7937820000000.0,610514752463.5018,5066300000000.0,4545398000000.0
265165601414.0,13731786926.0,2246245227.0,2442210047.0
492908767087.0,191701144107.0,128240258112.0,128940103258.0
46213216558.0,6104822701.0,163460813719.0,164898546813.0
480125601327.0,41294013465.0,1926168120.0,12528073059.0
691200000.0,425047416.0,-5532314.0,1469263219.0
17361604859196.0,1911321778302.0,803002510910.0,835531366248.0
293915224690.0,42450040454.0,13244757043.0,13069211524.0
1991305549188.0,1423188173597.0,1231939593571.0,1234682055778.0
1637328304042.0,270541328843.0,86229422937.0,85921692213.0
2039420776414.0,121328385593.0,50426182171.0,5598504148.0
2006659874277.0,-1986005498.0,-103406262396.0,2073984548.0
620650947433.0,1679700072.0,446951808.0,311949041.0
12319501255.0,5772299228.0,-2501813002.0,10955523451.0
22619246102.0,-5021409775.0,-18221365790.0,-18221365790.0
4093509173396.0,1043625260689.0,70672512968.0,72523946612.0
153483344374.0,4359664475.0,-3726008322.0,-6303936748.0
3035259000000.0,610514752463.5018,2181451000000.0,794660000000.0
160765215574.0,-2250333667.0,-37878609364.0,-37957899364.0
1118087481331.0,85185945469.0,4859205117.0,8826471047.0
48764301105.0,20768024377.0,-318428150123.0,-286730757109.0
91341413148.0,59414124436.0,55973191379.0,55973191379.0
6374514460150.0,302272628442.0,268074855439.0,872168518965.0
94879164053.0,6948190902.0,-86620760057.0,-80205239504.0
2612140095197.0,273441658003.0,69417876684.0,70929824483.0
45439820007.0,10979836622.0,-3497669810.0,278633145.0
545184703049.0,83841968916.0,53491602502.0,53918627052.0
813040460823.0,39078181552.0,20666397921.0,20425092770.0
12839645638671.0,1244546493446.0,747826684100.0,751634727765.0
7800427268404.0,1094735398744.0,1555186991012.0,1571027309206.0
2247003636730.0,190438020325.0,107688957884.0,126062006619.0
110772110243.0,64743558155.0,84026189489.0,82580904936.0
11251727317822.0,952156539848.0,116780020393.0,170150527838.0
2324357447504.0,-74074244002.0,-315933402782.0,-315274487494.0
612521692173.0,151789798065.0,55361877602.0,63747073150.0
4673028857122.0,729459328514.0,290644657259.0,289111939031.0
240919812502.0,-415757714.0,-252484468977.0,-251401359996.0
40721510970.0,8105424521.0,-20539875789.0,-20800849182.0
3306339272217.0,323943757585.0,-8109153517.0,212569540.0
83827432801.0,10643543811.0,2036165368.0,2100824633.0
72989804812.0,41299972630.0,33549185182.0,33865001975.0
503204817.0,160755606.0,-5281221427.0,-5353442634.0
1306797442020.0,204703984677.0,68767242251.0,68776802257.0
93251958232.0,62705140828.0,-4669953027.0,20256020098.0
3891109720791.0,281313313842.0,90505076376.0,86960868982.0
15802593027.0,6584033413.0,-10065524589.0,-18316351386.0
1277960452464.0,628668244424.0,441279227848.0,468038477135.0
221001048262.0,12504271285.0,2304157458.0,1859822970.0
1020637132951.0,459182235187.0,422063155433.0,416411958124.0
1336237832457.0,193326037369.0,78836610615.0,80056383047.0
1140492454254.0,80048706223.0,30436778358.0,25297844522.0
20609022190077.0,1831773954930.0,557452985282.0,558169985495.0
42732464207.0,13730297926.0,8682726933.0,8641830636.0
103564126562888.0,17654357438748.0,13156405325870.0,13172107496375.0
802345438436.0,54715379910.0,25109035007.0,25292553681.0
190353055077.0,17140950353.0,1604379597.0,1326407117.0
1057004061947.0,99931540837.0,9645880839.0,10427341313.0
17104550293.0,-14958523536.0,-20139964292.0,-20237381960.0
1499327044762.0,256937966501.0,227687779713.0,207735348303.0
280070334347.0,89055403400.0,79676494876.0,78649835317.0
1471321770177.0,62067652101.0,7566106890.0,6674967268.0
130939549954.0,86267995293.0,134794831138.0,153596017526.0
3487978470438.0,300372359617.0,-26532260780.0,-8133203878.0
4121908336161.3467,610514752463.5018,-50274867.0,-51883748.0
286984251029.0,89220276445.0,60133523840.0,61197534230.0
501891896274.0,115843608066.0,-20454474054.0,-21895259998.0
220089037479.0,104625188496.0,60218930826.0,62063217268.0
1140368523819.0,137881719038.0,15997529447.0,16336115230.0
5521801445146.0,613403695600.0,504262839090.0,533751101827.0
23878029780802.0,1132980446351.0,1097206056614.0,1699868689738.0
1973155586000.0,676666468000.0,223289290000.0,220620354000.0
78498815539.0,19872240706.0,42161735208.0,46627833378.0
4712176016962.0,624976962156.0,70989671639.0,89101474908.0
1273890610665.0,27256939497.0,22988184976.0,22431597008.0
1860877702477.0,179437655040.0,97706054992.0,97125336407.0
276517719628.0,131586895763.0,59366055502.0,59333204213.0
278276936599.0,27310403958.0,5173121118.0,12087737234.0
983145588033.0,469915114924.0,64801852445.0,208089938736.0
3640825147740.0,545372447106.0,308180808232.0,308136183006.0
4121908336161.3467,610514752463.5018,-1838558245.0,-1838559047.0
901410794996.0,200760215973.0,126055547856.0,109297718259.0
42375110616.0,33934313504.0,25333934396.0,24257411764.0
51242863961.0,15199245587.0,9656176201.0,9788585713.0
1615870373752.0,519181026969.0,99023528000.0,111185484581.0
134341152848802.0,27499210077021.0,5227045424891.0,4825763013078.0
55616946202.0,23701665897.0,44655720770.0,41970563763.0
456084144257.0,140755066275.0,66030779104.0,69500181491.0
156103579385.0,31583931377.0,6229829890.0,5502360615.0
410665257727.0,223573521099.0,62143359763.0,44080541457.0
381961444967.0,42930926479.0,4276527794.0,5015654724.0
965315241786.0,243431394090.0,71185684893.0,72214618386.0
1603328679192.0,86150893846.0,35076754661.0,36443243695.0
