mack,eps,pe,pb,roa,roe,tangtruongdoanhthuthuan,tangtruongloinhuangop,tangtruongtongtaisan
AAA,-0.18056542778487855,-0.10361552412883444,-0.07794713323519918,0.8267524650071878,-0.3096405495229221,-0.03652428614254137,-0.03375810790693901,0.08411778348604335
AAH,-0.40640078953038716,-0.07820143448736083,-0.10422485359298246,-0.5016137165984502,0.3939363783067396,0.041691702009467486,-0.03411570343360035,0.012491927146603523
AAM,-0.6206039278694061,-0.14069224394824456,-0.09838536018014173,-0.7716788680521809,-0.8905780364121072,-0.034397438452008905,0.08406961812797058,-0.12178476947027819
AAS,-0.35079308739204584,-0.07505078364824663,-0.03561080599210392,0.40633949073983844,-0.4357529611605328,-0.04407110244589975,-0.03334990923971239,0.28496644390259906
AAT,-0.45122740656027455,-0.9544305059753734,-0.10568472694619262,-0.7872680338037334,-1.0942044414780976,-0.03730632959079373,-0.03971578432282501,0.18859394133396104
AAV,-0.4983237257182575,-0.19301741755253884,-0.058968779643466814,-1.4847210975859693,-1.9219069822191501,-0.04596120249204813,-0.08002624609712954,-0.06183514761926287
ABB,-0.2818508852511431,-0.09781902286129286,-0.07502738652877881,1.5736966328413784,-0.35408637856140635,-0.03677073655923629,-0.04532598584016273,-5.566812453923133e-05
ABC,-0.24780535332970963,-0.09049071345097752,-0.08378662664803992,0.4270981391171338,-0.456327566790576,-0.035542365584686056,-0.0605609046930173,0.26919481373539883
ABI,0.3661490723201405,-0.10147447411109387,0.04760197514087643,-0.28387090202227544,0.28004423634156417,-0.03547444617851029,-0.046385278249329316,0.005521040884857548
ABR,-0.19446735331946388,-0.09444208218290526,-0.02685156587284282,2.5802582281513162,3.669499136094584,-0.04652202273161371,-0.057295315355204365,-0.14687996001256368
ABS,-0.4401626086858087,0.13062927334055618,-0.09692548682693154,1.0126563453649944,1.3185257535506667,-0.048677978739078656,-0.07357603244640812,-0.39722191288751574
ABT,1.5202926044567349,-0.10972534978921611,-0.029771312579263187,-0.5112603082445423,0.4058862273723508,-0.03526098518767218,-0.035654038906784945,0.0780182580070156
ABW,-0.13999450224517032,-0.10622656073583515,-0.06918789311593809,-0.5572297180135926,-0.12035689393704566,-0.03102669535122889,-0.03657838960777745,0.33489541675235457
ACB,0.6785168276992924,-0.1083502038428624,0.04614210178766625,0.6321809083185864,-0.5197767365998038,-0.03677073655923629,-0.04532598584016273,0.09727533130508885
ACC,-0.3068176086601943,-0.06899317872000499,0.012565014663832072,0.5266463014681759,-0.38120409303492075,-0.0352105307716559,-0.04982291826506423,0.15713781707783236
ACG,0.3411823489110893,-0.09353692282581169,0.06512045537939863,-0.11377625085498873,0.05115853761406155,-0.03564327441671862,-0.04094712740991356,-0.0601795621320982
ACL,-0.3896617363356824,-0.021037139704758564,-0.047289792817785364,-0.18467419350638933,0.26071131537593545,-0.0257871983033843,-0.04053892874268695,-0.11829932633940522
ACV,1.0578407958572635,-0.07839291050520755,0.5118417014617143,0.35514565336667625,-0.525476299096909,-0.034290707956589846,-0.039773134548798994,0.0496118964904008
ADC,0.5548180617180842,-0.10932499084280933,-0.00933308563432064,-0.0796238491422453,0.5364995210809256,-0.037661451057369864,-0.04594671769776354,-0.00467388027294593
ADG,-0.21432724694030006,-0.09590426268282566,-0.06480827305630754,-0.3125415425019386,-0.6237965628157783,-0.034304291837825,-0.04757951236667001,0.01074920558116702
ADP,-0.44924141719819094,-0.11964728889581881,0.20234855058115572,-0.5774773525345549,-0.662485045010004,-0.05617628118088291,-0.07906141288368482,-0.13799208002883756
ADS,-0.25546559801203217,-0.09729681553989271,-0.0531292862306261,0.7616163144139364,-0.24806302041185047,-0.036920159252822965,-0.054900100035114294,-0.04327516294736423
AFX,-0.22283862992065842,-0.10307590989672097,-0.07356751317556863,0.2942283656803454,3.50103276622208,-0.03750620670039669,-0.0534528502149472,0.5544783339973526
AGF,-0.48782635337581554,-0.1580295270187293,-0.22247459520300716,-1.4214693839415564,-0.662485045010004,-0.03441102233324406,-0.04610190066216374,-0.09782234794552642
AGG,0.16017360419546803,-0.1071665339143554,-0.03853055269852427,-0.3465434836571793,-0.07226780263834098,-0.04663457489041926,-0.05856714095474515,-0.29048021700453064
AGM,-4.3681658541211945,-0.12006505475293892,-0.19327712813880354,-0.7273457832981955,-0.662485045010004,-0.050244006190045536,-0.0797968451932336,-0.2145846928297714
AGP,0.17038726377189806,-0.08864558091536369,0.17315108351695208,-0.2993328272448234,0.20496132479097862,-0.0349466153648015,-0.04245172745605465,0.11200132853302722
AGR,-0.27135351290870113,-0.07263122305909264,0.062200708672978264,-0.33517971759139936,-0.2699789394037203,-0.03400350589618948,-0.04522477955903216,0.03784852592370448
AIC,-0.4168981618728292,0.04871235152358715,-0.010792958987530825,0.8065390768420041,0.06570555908162559,-0.03318071080423166,-0.03330605318455581,0.16210457353932636
AIG,0.728166561751383,-0.10027339727187352,0.035922988315195,-0.5277921477162386,0.3291260235785778,-0.03600421754668125,-0.042617031048567906,0.0163259145905638
ALT,-0.3652624384586551,-0.049758542381766406,-0.11006434700582317,-0.2891182338875655,-0.1073195312790917,-0.029672188336637956,-0.04142617047393158,0.028699237705162892
AMC,0.16669899781374278,-0.10681839570008865,-0.029771312579263187,3.195534505869426,0.16749238231268715,-0.03506304863253138,-0.04356837009119523,0.1849342260465444
AME,-0.3493745235619861,-0.09640906309351246,-0.09984523353335191,-0.1373366041760473,1.3339288463678178,-0.026646863930123242,-0.03478366488906208,0.1749135770452846
AMS,-0.19077908736130858,-0.10131781191467382,-0.05020953952420573,-0.47345810200577576,-0.18011230373720633,-0.03400156534172731,-0.0357350039316894,-0.09878084480651649
AMV,-0.43902775762176094,-0.04763489927473916,-0.13780194071681665,0.47352957082546915,-0.5227955452140389,-0.025589261748243504,-0.05681289874848199,-0.07778104994300677
ANT,0.6490107000340501,-0.11087420589629643,0.019864381429882987,3.0568598795723525,1.0320049643120675,-0.01912333428031085,-0.0029374217599772287,0.4086125389703182
ANV,-0.35845333207436836,-0.011968139223109419,0.11913576944817533,0.042231908300717276,-0.5397244739927928,-0.034705986611493087,-0.03681116405437776,-0.1214362251571909
APC,-0.7448701193826383,-0.13068327028807517,-0.12174333383150464,-2.1723251976705598,-3.2596256381789583,-0.03459925611607403,-0.036902249707395265,-0.1534151658829505
APF,1.1080579554413779,-0.10220556436105406,0.05198159520050698,-0.548932247408302,0.29989537130050586,-0.03654563224162519,-0.044725495238788035,-0.009204956343080805
APG,-0.6603237151110785,-0.13526128780568308,-0.06334839970309736,-4.079327402240731,-1.1066885762472423,-0.046549190494084014,-0.09736962914020425,0.3151155269846504
APH,-0.3048316192981107,-0.09573019357569229,-0.11298409371224354,0.8530306255134132,-0.2926971665979364,-0.03721124242214767,-0.03675718737110812,-0.00467388027294593
API,-0.5150627789129623,-0.1781345088926348,-0.05020953952420573,-1.1335967193985537,-2.1718827078270952,-0.03512320582085849,-0.03381545813291299,-0.12222044986163731
APS,-0.3746249597370493,-0.07665221943387374,-0.05750890629025663,-0.41069724813928726,1.2666149614358673,-0.045549804946069215,-0.04145653235827075,-0.06523345467186403
ARM,-0.014026034135866521,-0.09116958296879771,0.1395739963931179,1.1582795671807515,0.2150720705719647,-0.024840207725847947,-0.041652197835123174,-0.11054421537321282
ART,-0.5105233746567712,-0.130108842234535,-0.015172579047161372,-1.534414436801877,-1.7930937461081187,-0.05174405478929881,-0.12636185514140713,-0.20900798382037464
ASG,-0.3590207576063923,-0.019627179936978174,-0.03561080599210392,-0.4756987153217101,1.2039062282564323,-0.036813428757403906,-0.03771527349914415,-0.015740162213467652
ASM,-0.30199449163799125,-0.09082144475453094,-0.09838536018014173,0.11083663978023911,-0.44040061487081,-0.03670669826198485,-0.04432067011426578,0.03270749730566681
ASP,-0.4112239065525903,-0.06840134375575149,-0.08378662664803992,-0.5624261538507973,0.23792755037151084,-0.03894027644793638,-0.05117570888950946,-0.3410191424021889
AST,0.4878618489392651,-0.09092588621881098,0.42424930026910335,0.8989361281262659,-0.4302780279780287,-0.03270527496100132,-0.03615332322702908,0.026607971826639102
ATG,-0.44895770443217903,5.573004349329989,-31.846251172441967,0.01844456304094987,-0.662485045010004,-0.05200214853276672,-0.017113048203665212,-0.7492516691056872
ATS,-0.43306978953551006,0.3401736645077201,0.019864381429882987,-0.5519033761232642,-0.3395133772504702,-0.03568984772381057,-0.038545165004414794,-0.11368111419099851
AVC,0.6929861787659016,-0.09621758707566576,0.389212339792059,0.91861795762381,-0.4658847391823517,-0.035222174098428885,-0.044907666544823054,-0.2610282225486539
AVG,-0.19787190651160722,-0.0621000420775231,0.1775307035765826,1.396605734822104,-0.26216579023565606,-0.03408112807467606,-0.037941300860335744,0.03523444357554974
BAB,-0.12722742777463278,-0.10124818427182046,-0.022471945813212272,-0.19708461726190105,-0.05362601482676241,-0.03677073655923629,-0.04532598584016273,-0.002931158707509444
BAF,0.02966573182997309,-0.09064737564739757,0.1789905769297928,-0.3074628203241395,0.12129226751155937,-0.035445337861577816,-0.006530244740112333,0.04569077296816868
BAX,0.4702716574465245,-0.09790605741485954,0.0753395688518699,-0.34905759979157586,0.23350609005845108,-0.03717049077844221,-0.0403938664063998,-0.07934949935189961
BBC,1.316303125694146,-0.10462512495020805,-0.05750890629025663,-0.2483962594616399,-0.10879051314846029,-0.032947844268771904,-0.036824658225195164,-0.12378889927053016
BBM,-0.35845333207436836,-0.0805165536122348,-0.06918789311593809,0.6083831268893962,1.208541991803287,-0.037323794580953217,-0.047049866162086715,-0.1291913361233833
BBS,-0.1567335554398751,-0.10243185420032745,-0.07210763982235846,0.7444574296736608,3.407411092837519,-0.03677655822262278,-0.04383825350754341,-0.10217915185911765
BCA,-1.2189541513885993,-0.12669708773472074,-0.09400574012051119,-1.3970186228974502,-1.3964270667793364,-0.028203188608779302,0.1315387375209105,-0.10139492715467123
BCC,-0.4637107682648002,-0.37128159016783424,-0.08086687994161955,-2.0611968700029824,-0.9872202792699463,-0.034209204669178934,0.013950533018009928,-0.13694644708957568
BCE,-0.02736053413842796,-0.10969053596778944,-0.04291017275815482,-0.12351957687501541,0.29170655400419265,-0.015962171061444614,0.0004732299141228489,-0.045627837060703495
BCF,0.472825072340632,-0.09795827814699956,0.34687601254896366,-0.47518647254064683,-0.4725995489117403,-0.03130031353039411,-0.030593724850256635,0.22693381577356386
BCG,-0.28865999163542977,-0.1000819212540268,-0.11736371377187409,0.5528994396870012,-0.382354230053765,-0.03503005920667458,-0.04672263251976454,0.014844601259942783
