MaCK,TaiSanNganHan,TaiSanDaiHan,TongTaiSan,NoPhaiTra,VonChuSoHuu
A32,0,0,0,0,0
AAA,6441856215121,7306027379609,13747883594730,7512721392568,6235162202162
AAAA,0,0,0,0,0
AAH,423851699606,1038862306816,1462714006422,265662219636,1197051786786
AAM,165566091444,36770462951,202336554395,6013144141,196323410254
AAS,4784975321815,270661643206,5055636965021,2555670286501,2499966678520
AAT,434732640242,886907373253,1321640013495,589734740137,731905273358
AAUS,0,0,0,0,0
AAV,571786452695,364135318877,935921771572,167589023102,768332748470
ABB,0,0,176741649000000,162692209000000,14049440000000
ABC,815088889226,82296786976,897385676202,399052634114,498333042088
ABI,4180315820249,160019042880,4340334863129,2799517923846,1540816939283
ABR,113996062226,240038257251,354034319477,59936822741,294097496736
ABS,946631668276,55302823761,1001934492037,85411864617,916522627420
ABT,438491675489,330080632274,768572307763,225710376167,542861931596
ABW,2544709772677,845333140570,3390042913247,1947148357172,1442894556075
AC4,0,0,0,0,0
ACB,0,0,864005703000000,780544025000000,83461678000000
ACC,1753468940666,1235372338122,2988841278788,1651823110123,1337018168665
ACE,0,0,0,0,0
ACG,4119960561265,1519852953100,5639813514365,1463639638592,4176173875773
ACL,1409401659409,260438284197,1669839943606,860161085924,809678857682
ACM,0,0,0,0,0
ACS,0,0,0,0,0
ACV,40530332709669,36739371612334,77269704322003,17328681525697,59941022796306
ADC,149560425868,26471896163,176032322031,92733768848,83298553183
ADG,237823627820,258278076815,496101704635,108945025139,387156679496
ADP,318232759297,37156354346,355389113643,83031266659,272357846984
ADS,1989821988920,615882429103,2605704418023,1646192567543,959511850480
AFC,0,0,0,0,0
AFX,1679286459190,315035016813,1994321476003,1518480651319,475840824684
AG1,0,0,0,0,0
AGC,0,0,0,0,0
AGD,0,0,0,0,0
AGE,0,0,0,0,0
AGF,157634018279,124426392163,282060410442,464576196810,0
AGG,5819046786567,1216437180660,7035483967227,3898395385751,3137088581476
AGM,200166503582,844053653640,1044220157222,1279590643478,0
AGP,612887496515,481391388990,1094278885505,694414276784,399864608721
AGR,3244798533495,227428574044,3472227107539,1029539399155,2442687708384
AGX,0,0,0,0,0
AIC,4843821336185,271256411436,5115077747621,4007165203964,1107912543657
AIG,7443501187991,3100818189880,10544319377871,4523420461495,6020898916376
ALP,0,0,0,0,0
ALT,234029629143,133000948082,367030577225,149775206529,217255370696
ALV,0,0,0,0,0
AMC,58317156241,43758759412,102075915653,49194601543,52881314110
AMD,0,0,0,0,0
AME,3138139358571,110231577536,3248370936107,2432232792069,816138144038
AMP,0,0,0,0,0
AMS,2188152784452,1084669189268,3272821973720,2468536156938,804285816782
AMV,973004614617,1002007406378,1975012020995,281576662438,1693435358557
ANT,747605089594,478919142716,1226524232310,926732667423,299791564887
ANV,2585543414472,2276825513625,4862368928097,2065101042789,2797267885308
APC,87876737366,726315830690,814192568056,244411526224,569781041832
APF,1966215484304,1454687020186,3420902504490,2264570270034,1156332234456
APG,2115341268710,537781189058,2653122457768,269541538972,2383580918796
APH,6448108630310,6976415600046,13424524230356,7506270481144,5918253749212
API,1670252568883,501668460904,2171921029787,1259982757904,911938271883
APL,0,0,0,0,0
APP,0,0,0,0,0
APS,740130494746,74995156684,815125651430,12022879908,803102771522
