MaCK,DoanhThuThuan,LoiNhuanGop,LoiNhuanThuan,LoiNhuanTruocThue,LoiNhuanSauThue,LaiTrenCoPhieu
AAA,12782355466948,1488874039290,410860502242,407929704810,310126892347,0
AAH,1171901547172,50413302276,36663393826,26023785608,17826187239,151
AAM,153483344374,4359664475,-3726008322,-6303936748,-6312368664,-604
AAS,409538425164,247148422547,109802759224,102525900897,79901608933,347
AAT,582832152244,54958501990,36798940,3378534748,-445414922,-62
AAV,38485998242,-92032770,-13293446337,-13640457070,-13640457070,-173
ABB,3035259000000,0,2181451000000,794660000000,610773000000,0
ABC,1146997928816,1007672064,18489275785,18467115634,14481951949,710
ABI,2153284689756,694430340705,255532216318,256144304898,204717146978,0
ABR,26703698429,21460359350,26408028351,26281607352,17959180480,898
ABS,396140857414,6291310700,11530034994,9572916021,2559401141,32
ABT,574119095281,107555717064,91063176851,91276939023,81756052567,6942
ABW,379455976931,270307841003,141919890391,139770503450,110266827396,1090
ACB,27794702000000,0,22612156000000,21005871000000,16789768000000,3669
ACC,703993977474,109683471516,63596109836,67743899378,53013436443,502
ACG,3980864021638,1251359909087,574855564191,523893633928,420115071480,2786
ACL,1748735062071,189327774868,13495578027,13175245015,10536956998,210
ACV,22554602968650,13813367936240,14299443517504,14332852757948,11576593004986,4741
ADC,411845847050,139317696152,17626554505,17598246183,14078596946,3539
ADG,464199961680,72865929263,28352140710,27184379527,21114304155,828
ADP,0,0,0,0,0,0
ADS,1629125227359,133233448330,57890479910,64905543676,56053340028,0
AFX,2057034336851,69933797265,32386833450,34786636420,27927396520,798
AGF,506856558830,51572479984,-1043418673,-3824246432,-3824246432,-136
AGG,1913398478509,593473568303,306828547284,301619529470,261003901664,2242
AGM,240919812502,-415757714,-252484468977,-251401359996,-251401359996,-13813
AGP,793261193442,233016962350,60595199807,60481183498,48894940952,2025
AGR,412896892995,300927415668,168857093433,168543782608,135152065932,627
AIC,2356140451956,180656968506,15847192847,15497804753,11372576718,0
AIG,12386543096944,1964710710159,1036492666411,1042237331013,841610270466,4006
ALT,414845942519,48114650662,3792037587,3813970236,1700205147,296
AMC,159789927069,64107327938,8282239910,7963194521,6186953400,1901
AME,3371087038356,151878369023,29017023770,28850845768,22967968509,352
AMS,3432318861415,317144589285,94083327933,65287342743,54689190246,911
AMV,309827146588,32708488649,-6636221641,6284158251,3334576695,36
ANT,1444280778883,349442170998,84398161763,85001474438,71608857807,3855
ANV,4911265972913,560372104802,119281689339,78513586158,48406232686,317
APC,131101428097,31742943973,-20560066182,-20359327376,-20859878771,-1048
APF,6561666425115,588476936618,162057709291,161758049231,156869218933,5164
APG,131294482810,-101377977814,-146254789137,-146174367275,-149252024828,-750
APH,14192696932359,1788244853719,427115971923,422794530291,308499580446,0
API,209580465103,75877336939,-15809478823,-13167823681,-19403382296,-232
APS,238090038677,12452373034,21085440133,20569033750,21839072600,0
ARM,329859793051,36436210011,5791403260,6037181300,4772506039,1534
ART,810594636,-5224703630,-19697377904,-20964065888,-20964065888,-216
ASG,1915534107117,305083677969,78865970001,78102786600,53476646270,319
ASM,12013117890000,1380915215783,336968232319,316035009775,253265295115,523
ASP,3306339272217,323943757585,-8109153517,212569540,3839413830,134
AST,1330042251352,813143277614,256266995959,256088365005,202378837412,3179
ATG,12813696308,4014934951,332114297,246438633,9773309,1
ATS,50615224450,2647951665,775877300,354145677,198740216,57
AVC,752328702442,404514411148,373185608428,376658166180,302171925726,0
AVG,686885399725,31520937662,14032497749,13560277750,12805817408,718
BAB,3321210000000,0,1411691000000,1260278000000,1011255000000,0
BAF,5553656895109,738017016685,286019649910,393229314298,323869639379,1355
BAX,72989804812,41299972630,33549185182,33865001975,26578738211,3241
BBC,1780711929951,621655021573,131548056734,131607923042,116700028048,6170
BBM,58481897633,13780658966,860266974,844923152,640540399,320
BBS,355507372286,36432410381,8907066354,8692467719,6186113313,1031
BCA,5528816582131,167608835065,-51036595693,-52895753018,-51542684979,-2713
BCC,3487978470438,300372359617,-26532260780,-8133203878,-8133426100,-50
BCE,254214077693,89033332108,57244456169,56227483841,52052940752,1086
BCF,761888236324,200334704171,129958940428,133034065429,106860498086,3152
BCG,4371857554867,1150049927558,882347082040,999352326942,844797960881,0
BCM,5195123457122,3392262537911,2467849404921,2451489518457,2309721093748,1923
BCR,669293653728,127655132835,282622040121,306808884285,258868101184,557
BDB,69059167443,6109657737,760524377,886702562,687854921,0
BDG,1816529657684,312335413351,203226283015,209278178786,174651060653,6591
BDT,188106088619,54337124180,-16509327430,-13531458705,-14282343628,-344
BDW,285225152800,101112481833,41520542265,44964355264,35904572211,2893
BED,79516683126,21129690716,7575227297,9495033580,7492371842,2373
BFC,9358243746877,1393574129207,531573724714,531112811455,428073542058,5640
BGE,1277960452464,628668244424,441279227848,468038477135,394320363622,489
BGW,179980998434,69642411243,15080920731,14889166688,11487759308,633
BHA,364125331903,243193484990,176371294119,169584534959,163041675630,0
BHC,7636981845,1773607644,631650151,459010396,301032990,67
BHI,2885082483183,-31158545914,8360698979,10800552310,8098598747,82
BHK,154588021348,39369912736,3388994476,5768708337,4588485589,952
