MaCk,EPS,PE,PB,ROA,ROE,TangTruongDoanhThuThuan,TangTruongLoiNhuanGop,TangTruongTongTaiSan
A32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AAA,947.0,9.21,0.53,22.558.155.239.682.200,4.973.838.406.953.800,1.27,34.29,18.69
AAAA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AAH,151.0,23.81,0.35,1.218.706.265.253.130,14.891.742.726.404.500,404.33,33.23,10.47
AAM,-604.0,-12.09,0.39,-3.119.737.154.205.480,-3.215.290.859.013.270,12.23,383.56,-4.94
AAS,347.0,25.62,0.82,15.804.459.356.125.400,3.196.106.956.925.610,-37.62,35.5,41.74
AAT,-7.0,-479.57,0.34,-3.370.168.256.499.180,-6.085.690.842.975.140,-2.76,16.63,30.68
AAUS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AAV,-173.0,-42.15,0.66,-14.574.355.981.792.200,-17.753.319.895.790.600,-47.36,-102.86,1.94
ABB,590.0,12.54,0.55,34.557.389.469.643.300,4.347.312.063.683.670,0.0,0.0,09.03
ABC,710.0,16.75,0.49,16.137.935.263.566.800,2.906.079.012.605.920,6.33,-45.16,39.93
ABI,2874.0,10.44,1.39,4.716.621.031.180.450,13.286.273.129.451.800,6.68,-3.14,9.67
ABR,898.0,14.48,0.88,50.727.230.361.537.600,61.065.397.289.393.600,-50.25,-35.48,-7.82
ABS,32.0,143.78,0.4,25.544.595.593.236.400,27.925.127.699.298.400,-61.36,-83.74,-36.55
ABT,6942.0,5.7,0.86,1.063.739.244.066.160,15.060.192.621.471.700,7.78,28.67,17.99
ABW,1090.0,7.71,0.59,325.266.759.795.633,7.642.057.205.895.260,29.6,25.93,47.47
AC4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ACB,3975.0,6.49,1.38,19.432.473.584.031.400,2.011.673.908.593.110,0.0,0.0,20.2
ACC,502.0,29.1,1.15,17.737.120.006.753.000,3.965.049.816.483.300,08.04,-13.33,27.07
ACE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ACG,2786.0,15.0,1.51,7.449.095.088.160.930,10.059.807.948.064.300,5.81,12.98,2.13
ACL,210.0,56.65,0.74,6.310.159.867.924.560,13.013.748.473.272.300,56.6,14.19,-4.54
ACM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ACS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ACV,5312.0,23.7,4.57,14.982.059.406.806.200,1.931.330.575.443.470,12.78,16.46,14.73
ADC,3539.0,5.93,1.0,7.997.734.043.138.220,16.901.370.321.607.400,-4.59,-1.84,8.5
ADG,828.0,13.64,0.62,4.256.043.459.986.600,545.368.458.642.805,12.71,-6.68,10.27
ADP,0.0,0.0,2.45,0.0,0.0,-100.0,-100.0,-6.8
ADS,683.0,12.84,0.7,21.511.779.939.540.700,5.841.860.108.341.450,-0.77,-28.38,04.07
AFC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AFX,798.0,9.52,0.56,14.003.457.745.424.100,58.690.627.351.165.600,-3.79,-24.09,72.67
AG1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AGC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AGD,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AGE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AGF,-136.0,-22.05,-0.46,-13.558.253.091.978.600,0.0,12.16,-2.3,-2.19
AGG,2148.0,7.17,0.8,3.709.821.568.492.220,8.319.940.444.308.320,-50.83,-39.25,-24.3
AGM,-13813.0,-0.24,-0.26,-2.407.551.302.828.870,0.0,-69.43,-102.18,-15.59
AGP,2184.0,17.81,2.25,4.468.233.975.787.200,12.227.874.106.786.900,9.4,8.52,21.89
AGR,627.0,27.01,1.49,3.892.374.022.383.320,5.532.924.469.555.380,14.26,0.3,13.38
AGX,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AIC,114.0,96.72,0.99,22.233.438.628.160.300,10.264.868.633.458.500,18.5,35.63,27.64
AIG,4150.0,11.13,1.31,798.164.623.344.261,13.978.149.810.436.700,3.95,08.03,10.91
ALP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ALT,296.0,40.15,0.31,4.632.325.622.172.140,7.825.837.131.451.420,36.58,11.56,12.33
ALV,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AMC,2171.0,7.37,0.86,60.611.294.646.938.200,11.699.696.772.153.400,8.8,5.21,30.26
AMD,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AME,352.0,13.35,0.38,7.070.611.380.523.520,28.142.255.911.923.800,52.17,31.25,29.11
AMP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AMS,911.0,10.53,0.72,1.671.010.237.805.210,6.799.720.833.672.660,14.27,28.43,-2.3
AMV,36.0,41.37,0.12,16.883.829.868.134.400,1.969.119.564.056.720,57.62,-34.05,0.11
ANT,3871.0,05.04,1.2,58.383.565.461.347.600,23.886.215.022.090.900,90.94,125.65,55.93
ANV,320.0,61.86,1.88,9.955.277.643.842.810,1.730.482.551.930.130,10.64,25.24,-4.9
APC,-1042.0,-6.34,0.23,-25.620.325.693.718.700,-36.610.341.937.544.700,11.19,24.97,-8.57
APF,5489.0,10.02,1.42,458.560.916.971.782,13.566.102.739.218.300,1.16,1.78,7.98
APG,-744.0,-8.97,0.63,-56.255.234.051.111.800,-6.261.672.244.942.720,-50.39,-154.27,45.2
APH,509.0,13.74,0.29,22.980.298.977.628.500,5.212.679.170.558.980,-2.27,25.4,8.5
API,-232.0,-33.6,0.72,-8.933.742.078.966.320,-21.277.078.607.453.600,8.49,34.12,-4.99
APL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
APP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
APS,263.0,24.7,0.67,2.679.227.743.806.980,27.193.372.223.845.800,-45.24,11.47,1.55
APSC,149.0,0.0,0.0,1.333.926.536.880.800,14.554.364.033.722.700,2.31,-7.77,0.21
APT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AQN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ARM,1534.0,16.36,02.02,27.883.950.023.106.900,12.370.399.259.741.300,61.48,10.89,-3.65
ART,-216.0,-6.01,0.96,-15.372.651.279.618.200,-15.937.516.534.004.800,-77.16,-240.21,-14.95
ASA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ASD,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ASG,318.0,57.46,0.82,1.635.016.056.239.240,26.309.404.613.386.900,-0.22,22.56,7.23
ASM,519.0,16.56,0.39,11.057.373.727.802.200,3.130.591.754.557.250,0.33,2.98,12.79
